,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39
T05B5,1319,1477,1504,2303,2308,2330,2353,2357,2377,2379,2382,2385,2412,2439,2449,2454,2458,2886,3005,3014,3034,3044,3293,4915,5388,5483,6121,6176,6239,6285,6488,8016,NA,NA,NA,NA,NA,NA,NA
T0601,2059,2317,2327,2330,2344,2347,2379,2382,2383,2408,2454,2455,2727,2912,3008,3034,3035,3037,3042,3081,3105,3131,3152,3376,3406,3711,5289,6121,6271,6279,6488,6510,6670,8069,8464,9910,9914,NA,NA
T0605,2059,2317,2327,2330,2344,2347,2379,2382,2383,2408,2454,2455,3008,3034,3035,3037,3042,3081,3105,3131,3152,3376,3406,3711,5289,6121,6271,6488,6510,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0606,2059,2317,2327,2330,2344,2347,2379,2382,2383,2408,2454,2455,2727,2912,3008,3034,3035,3037,3042,3081,3105,3131,3152,3376,3406,3711,5289,6121,6271,6279,6488,6510,6670,8069,8464,9914,NA,NA,NA
T0704,2301,2308,2330,2345,2357,2368,2376,2379,2383,2454,3017,3035,3231,3529,3533,3653,3661,6138,6274,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,1519,2301,2308,2317,2330,2345,2357,2368,2376,2379,2383,2454,3017,3035,3131,3231,3529,3533,3653,3661,5274,6138,6285,6669,6805,8069,9802,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0708,1477,1519,2301,2308,2330,2345,2368,2379,2383,2454,3017,3035,3324,3529,3533,3653,3661,5274,6138,6274,6669,6679,6805,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1477,1519,2059,2301,2330,2345,2357,2368,2376,2379,2382,2383,2421,2454,3017,3035,3231,3529,3533,3653,3661,5269,5274,6138,6274,6285,6669,6679,6805,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0802,1476,1477,2330,2345,2368,2379,2382,2383,2408,2454,3008,3017,3034,3413,3443,3529,3533,3653,3661,4966,5269,5274,6121,6510,6515,6669,6679,6719,6811,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0803,2059,2330,2345,2368,2376,2382,2383,2454,3017,3034,3443,3529,3533,3653,3661,3680,4966,5269,5274,5388,6285,6515,6669,6719,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0806,1477,1795,2301,2330,2345,2376,2382,2727,3035,3105,3131,3264,3293,3324,3529,3661,4755,4966,5234,5269,5274,5904,6121,6223,6488,6643,6679,6782,6811,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2330,2360,2379,2382,2454,3017,3034,3231,3529,3533,3587,3661,4966,5269,6274,6510,6531,6643,6669,6679,6719,6811,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,1319,2330,2357,2379,2382,2458,3008,3017,3034,3036,3131,3587,3661,3680,4770,4966,5234,5269,6121,6223,6239,6274,6679,6781,6782,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0812,1210,1477,1795,2105,2204,2301,2330,2368,2376,2382,2383,2727,2882,2886,3017,3035,3131,3533,3653,3661,4755,4766,4770,5234,5904,6223,6285,6669,6811,8069,8299,9910,9958,NA,NA,NA,NA,NA,NA
T0901,1519,2317,2330,2368,2376,2379,2382,2383,2454,3008,3017,3034,3035,3037,3231,3324,3376,3443,3529,3533,3653,3661,5269,5274,6274,6643,6669,6805,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0902,1503,1519,1560,1590,1773,2049,2059,2308,2313,2317,2376,2382,2454,3008,3017,3034,3324,3376,3533,3653,3661,4961,5269,5274,6274,6643,6781,6805,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0903,1519,1560,1795,2049,2308,2313,2317,2330,2368,2376,2379,2382,2454,3017,3034,3036,3037,3529,3533,3653,3661,4961,5269,6274,6669,6805,8069,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0904,1773,2308,2317,2345,2368,2379,2382,3034,3036,3413,3533,3592,3653,3661,4961,5269,5483,6121,6223,6669,6805,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,1519,1560,1773,2049,2204,2308,2317,2330,2368,2383,2454,3034,3035,3036,3264,3324,3443,3533,3548,3583,3592,3653,3661,5269,6138,6223,6669,6805,8299,8996,9914,NA,NA,NA,NA,NA,NA,NA,NA
T0909,1519,1560,2308,2317,2330,2368,2382,2383,3017,3034,3324,3376,3443,3529,3533,3653,3661,5269,6223,6643,6669,6805,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,1795,2317,2327,2330,2345,2368,2376,2382,2383,2454,3008,3017,3034,3036,3037,3217,3324,3376,3533,3653,3661,3680,4961,5269,5347,5483,6669,6679,6805,8069,8210,8299,NA,NA,NA,NA,NA,NA,NA
T0911,2204,2317,2345,2368,2376,2379,2382,2383,3008,3017,3034,3037,3324,3376,3533,3653,3661,5269,5274,6285,6669,6805,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0922,1519,1560,1773,1795,2049,2308,2317,2330,2368,2382,2454,3017,3034,3035,3036,3264,3324,3376,3443,3533,3583,3653,3661,3675,3680,5269,6223,6669,6679,6805,8299,8996,NA,NA,NA,NA,NA,NA,NA
T0945,2031,2303,2317,2324,2330,2357,2382,2454,3008,3017,3034,3036,3217,3376,3443,3479,3533,3653,3661,5289,5347,5483,6121,6285,6669,6691,6805,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1001,1476,1519,1560,1773,2049,2059,2204,2317,2330,2368,2376,2449,3017,3037,3529,3533,3548,3653,3661,5274,6643,6805,8069,8996,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1004,1519,1560,1773,1795,2049,2308,2317,2330,2345,2353,2379,2382,2383,2408,2454,3017,3081,3481,3533,3661,3715,4129,4768,4953,5274,6643,6669,6719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1005,1476,1519,1560,1773,2049,2059,2204,2317,2330,2345,2368,2376,2382,2449,2454,3017,3036,3037,3529,3533,3548,3563,3653,3661,5274,6138,6643,6669,6805,8299,9958,NA,NA,NA,NA,NA,NA,NA,NA
T1010,1519,1560,1773,2049,2059,2204,2317,2330,2368,2376,2382,2383,2449,3017,3036,3037,3529,3533,3563,3653,3661,3708,5274,6643,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1011,1503,1560,1773,2049,2059,2204,2317,2353,2382,2449,2454,2637,3017,3036,3037,3231,3563,3653,3661,5269,6643,6669,6719,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1012,1519,1560,1773,1795,2049,2308,2317,2330,2345,2353,2379,2382,2383,2408,2454,3017,3081,3481,3529,3533,3653,3661,3715,4129,4768,4953,5274,6643,6669,6719,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1017,1503,1560,1773,2049,2204,2317,2353,2382,2449,2454,2637,3017,3036,3037,3231,3529,3533,3563,3653,3661,5269,6643,6669,6719,6805,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1089,1476,1560,1773,2049,2204,2303,2317,2330,2344,2382,2383,2385,2454,2890,3014,3017,3529,3532,3563,3653,3661,4915,4966,5009,5274,5284,6412,6643,8112,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1102,1216,1303,2002,2303,2308,2317,2330,2345,2357,2379,2382,2395,2412,2454,2603,2881,2882,2883,2884,2885,2886,2891,2892,2912,3008,3034,3037,3711,5871,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1104,1514,1519,1560,1590,1773,2059,2324,2330,2345,2353,2368,2376,2382,2383,2454,3017,3034,3037,3131,3231,3324,3443,3587,3653,3680,4966,6669,6679,6811,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1111,1319,1477,1514,1519,1560,1590,1773,2059,2345,2368,2376,2382,2383,2885,3017,3034,3035,3131,3231,3324,3587,3653,3680,5904,6412,6669,6679,6781,6811,8464,9921,NA,NA,NA,NA,NA,NA,NA,NA
T1135,1303,1319,1477,1514,1519,1560,1773,2002,2059,2324,2330,2345,2353,2368,2376,2379,2382,2383,2603,2885,2891,3017,3034,3037,3131,3231,3324,3587,3653,3680,4966,6669,6679,6781,6811,9921,NA,NA,NA
T1201,1503,1560,1795,2059,2301,2308,2317,2330,2376,2382,2383,2603,3017,3035,3324,3529,3661,4770,6643,6669,6805,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1287,1560,1795,2059,2301,2308,2313,2317,2330,2345,2382,2383,3017,3035,3037,3529,3653,6669,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1405,1560,1795,2059,2317,2330,2383,3017,3036,3037,3044,3324,3362,3483,3529,3653,4147,4746,6121,6239,6274,6669,6789,6805,6806,8155,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1407,1795,2059,2317,2345,2368,2383,3131,3324,3529,3587,3653,3691,4107,4908,4953,5439,5483,6121,6143,6223,6274,6294,6515,6535,6667,6669,6679,8069,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1408,1560,1795,2059,2317,2330,2383,3017,3037,3044,3324,3362,3483,3529,3653,4147,4746,6121,6239,6274,6669,6789,6805,6806,8155,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1411,1560,2059,2317,2345,2368,2382,2383,3017,3037,3131,3147,3324,3529,3653,3689,3691,5439,6121,6213,6274,6515,6789,6806,6830,8147,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1450,1477,1582,2317,2327,2330,2383,2451,2458,3042,3044,3078,3231,3479,3483,4107,4536,5009,5434,6121,6146,6176,6197,6239,6279,6414,6488,6538,6669,6830,9802,9921,9939,NA,NA,NA,NA,NA,NA,NA
T1601,1795,2204,2308,2330,2345,2382,2421,2454,2881,2882,3017,3034,3037,3042,3324,3413,3450,3529,3548,3653,4968,5274,6121,6138,6274,6443,6472,6526,6679,6805,8155,NA,NA,NA,NA,NA,NA,NA,NA
T1603,1216,1795,2308,2330,2368,2376,2379,2382,2383,2454,2881,2882,2885,3008,3017,3034,3037,3231,3376,3413,3653,6669,6805,8069,8996,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1608,1519,1560,1795,2204,2308,2317,2368,2382,2454,3008,3017,3131,3231,3413,3450,3529,3653,3661,3675,5269,5483,6147,6274,6669,6679,6789,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1609,1590,1795,2308,2317,2330,2368,2382,2383,2520,2603,2882,3008,3017,3034,3035,3481,3491,3529,3533,3653,4966,5269,5274,5483,6147,6414,6415,6669,6719,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1612,1795,2317,2382,3131,3217,3289,3293,3450,3491,3529,3587,3624,3661,3675,3680,4147,4768,5274,5309,5340,5904,6121,6138,6143,6147,6187,6274,6279,6472,6488,6585,6679,6741,8069,NA,NA,NA,NA,NA
T1613,1319,1504,1795,2233,2308,2317,2330,2376,2382,2454,2603,2634,2882,3231,3293,4572,5234,6239,6285,6472,6526,6546,6781,6829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1614,2303,2308,2317,2330,2379,2454,2455,3006,3034,3035,3443,3529,3661,4966,5269,5274,6415,6643,6719,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1701,1342,1513,2313,2317,2330,2368,2383,2454,3037,3038,3526,3533,3665,3675,5439,6279,6788,6829,8069,8109,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1706,1513,1565,2317,2330,2454,2634,2640,3008,3293,3357,3479,3491,4572,6143,6279,6290,6591,8069,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1718,1319,1476,1477,2006,2301,2303,2317,2387,2451,2454,3023,3044,3526,3592,3596,6147,6176,6285,6409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1802,1216,1513,1590,2303,2308,2313,2317,2330,2351,2357,2368,2379,2382,2454,2881,2882,2912,3008,3034,3037,3231,3533,3680,3711,5871,6285,8299,8478,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2003,2317,2330,2379,2454,3017,3034,3036,3037,3131,3324,3533,3653,3661,3680,5269,5274,6138,6274,6669,6805,6806,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2004,1519,2330,2368,2376,2379,2382,2454,2455,3017,3034,3036,3037,3131,3231,3324,3376,3533,3548,3653,3680,5269,6274,6669,6805,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2005,1477,1503,1504,1519,2330,2368,2376,2382,2383,2454,2881,2882,2884,2891,3017,3044,3529,3533,3661,3680,4572,4763,4766,4768,4770,4966,5009,5269,6274,6669,6806,8299,8464,9914,NA,NA,NA,NA,NA
T2007,2313,2330,2368,2376,2382,2383,2454,2606,3017,3217,3231,3324,3526,3529,3661,3715,5269,5274,6274,6290,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2030,2317,2330,2368,2379,2454,3017,3034,3036,3037,3131,3324,3533,3653,3680,5269,5274,6274,6669,6679,6805,6806,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2036,2317,2330,2379,2454,3017,3034,3036,3037,3131,3324,3533,3653,3680,5269,5274,6274,6526,6669,6679,6805,6806,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2069,2317,2330,2379,2454,3017,3034,3037,3131,3324,3533,3653,3661,3680,5269,5274,6274,6669,6805,6806,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2101,1476,1590,2308,2317,2330,2345,2382,2383,2408,2454,2458,2881,2882,2891,3017,3105,3533,3711,4966,5269,5274,5871,6274,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2203,1477,1519,1590,2204,2211,2303,2317,2330,2382,2404,2454,2504,2603,2885,2891,3017,3034,3042,3131,3231,3293,3529,3533,3653,5269,5483,6121,6223,6669,6805,8299,NA,NA,NA,NA,NA,NA,NA,NA
T2205,1519,1560,2059,2317,2330,2368,2379,2382,2383,2404,2449,2454,3017,3036,3131,3324,3529,3548,3653,6223,6414,6669,6679,6805,6806,8299,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2208,1519,1560,2059,2303,2308,2317,2330,2368,2382,2404,2449,2454,2603,2891,3005,3017,3034,3131,3217,3231,3293,3529,3587,3653,3675,3680,5269,5289,5483,6121,6138,6223,6669,6805,8069,8299,NA,NA,NA
T2216,1319,1477,1519,1590,2204,2211,2303,2317,2330,2382,2404,2454,2504,2603,2885,2891,3017,3034,3131,3231,3293,3529,3533,3653,6121,6223,6669,6805,8299,8464,NA,NA,NA,NA,NA,NA,NA,NA,NA
T22C2,1519,2059,2301,2303,2317,2330,2344,2345,2368,2377,2382,2383,2454,2603,3017,3036,3293,3529,3653,3661,3680,4915,6121,6805,8016,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2501,2308,2317,2330,2368,2376,2382,2383,2454,2634,3017,3023,3034,3037,3529,3533,3653,3661,3680,3715,4966,5269,6223,6679,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2506,2308,2317,2330,2368,2376,2382,2383,2454,2634,2882,3017,3023,3034,3037,3529,3533,3653,3661,3680,4966,5269,5274,6223,6669,6679,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2520,2317,2330,2368,2376,2382,2454,3017,3034,3529,3533,3548,3653,3661,4763,4966,5269,5274,6274,6669,6679,6799,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2578,1504,2204,2303,2317,2330,2357,2382,2385,2454,2492,2610,2882,2885,2886,3034,3231,3711,6239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2620,1477,1513,1795,2313,2330,2345,2354,2360,2368,3017,3019,3044,3529,3533,3661,3680,4572,4958,4966,4967,6274,6510,6719,6781,6782,6811,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2701,2308,2317,2330,2357,2368,2376,2379,2382,2383,2454,2606,2891,3017,3034,3231,3376,3413,3529,3661,4961,5388,5434,5483,6138,6176,6213,6239,6669,6805,8081,8114,8299,NA,NA,NA,NA,NA,NA,NA
T2703,1319,1519,2308,2317,2330,2345,2368,2376,2382,2383,3008,3017,3231,3324,3376,3413,3529,3653,3661,3680,4961,5269,6213,6669,6805,8299,9921,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3101,1477,1560,2059,2301,2317,2330,2360,2368,2382,2383,2457,2881,2882,2890,2891,3017,3023,3231,3324,3529,3533,3653,3661,3680,5222,5274,6531,6669,8069,8210,8299,8464,9921,NA,NA,NA,NA,NA,NA
T3201,1519,2059,2308,2330,2376,2382,2383,2454,2912,3017,3035,3231,3443,3529,3661,5269,6285,6805,8069,8464,9802,9914,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3203,1519,2059,2317,2330,2368,2376,2383,2385,2408,2421,2454,2455,3017,3037,3231,3376,3443,3481,3529,3533,3548,3653,3661,5269,5871,6121,6176,6223,6669,6805,8069,8299,9914,9958,NA,NA,NA,NA,NA
T3205,1503,2059,2317,2330,2376,2383,2454,3017,3042,3131,3324,3376,3481,3515,3529,3548,3583,4770,5269,6121,6285,6643,6805,8086,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3207,1477,2059,2317,2330,2376,2382,2383,2421,2454,2455,3017,3037,3324,3376,3443,3481,3515,3529,3533,3548,3661,4770,5269,6223,6805,8464,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3218,1503,1519,2049,2059,2308,2330,2368,2376,2383,2421,2454,2455,3017,3037,3042,3324,3376,3443,3481,3515,3529,3533,3548,3653,3661,4770,5269,6285,6669,6679,6805,6811,8069,8086,NA,NA,NA,NA,NA
T3223,1519,2059,2317,2330,2368,2376,2383,2385,2408,2421,2455,3017,3037,3231,3376,3443,3481,3529,3533,3548,3653,3661,5269,5871,6121,6176,6223,6669,6805,8069,8299,9914,9958,NA,NA,NA,NA,NA,NA
T3228,1503,2059,2317,2330,2376,2379,2454,3017,3034,3042,3131,3324,3376,3481,3515,3529,3548,3583,4770,5269,6121,6285,6643,6805,8086,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3236,1102,1519,2303,2317,2376,2382,2454,2548,2637,3017,3034,3211,3515,3533,5269,5534,6121,6147,6176,6285,6670,6805,8069,8112,8299,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3303,1560,2059,2313,2330,2368,2376,2383,2412,2449,2454,3008,3017,3034,3044,3131,3217,3529,3587,4961,5269,6285,6669,6679,6805,8086,8299,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3601,1319,1503,1519,2308,2317,2330,2368,2379,2382,2383,2454,2455,3017,3034,3231,3324,3529,3653,3661,4958,4979,5269,5274,6138,6515,6643,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3604,2308,2317,2330,2345,2368,2379,2382,2383,2455,3008,3017,3034,3035,3131,3231,3324,3529,3533,3653,3661,4966,4979,5269,5274,5347,6274,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3619,1503,1519,2308,2317,2330,2345,2379,2382,2383,3017,3034,3231,3260,3324,3529,3533,3653,3661,4979,5269,5274,6515,6643,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3701,1795,2204,2317,2330,2382,2454,2455,3008,3017,3036,3131,3217,3324,3529,3533,3653,3661,3680,4746,5274,5284,5439,6143,6187,6274,6290,6515,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3703,2204,2317,2330,2345,2382,2454,2455,3008,3017,3036,3037,3131,3217,3324,3529,3533,3653,3661,3680,4572,4746,5274,5284,5439,6274,6290,6515,6643,6679,6805,9958,NA,NA,NA,NA,NA,NA,NA,NA
T3707,1795,2317,2330,2382,2454,2455,3008,3017,3036,3044,3131,3217,3324,3529,3533,3653,3661,3680,4746,5274,5284,5439,6143,6187,6274,6290,6515,6546,6643,6679,6805,9958,NA,NA,NA,NA,NA,NA,NA
T3786,1477,2204,2301,2317,2330,2345,2357,2382,2454,2809,2881,3017,3034,3036,3044,3217,3324,3413,3526,3653,3680,4572,5274,5284,5483,6121,6187,6274,6805,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA
