,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47
T0605,1536,2059,2303,2308,2317,2327,2330,2347,2379,2382,2408,2454,2455,2912,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,5269,5289,5347,6121,6271,6488,6510,8044,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0606,1301,1536,2059,2303,2308,2317,2327,2330,2347,2379,2382,2408,2454,2455,2727,2912,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,5269,5289,5347,6121,6271,6279,6488,6510,6670,8046,8069,8464,9914,NA,NA,NA,NA,NA,NA,NA
T0704,2049,2308,2330,2345,2379,2385,2409,2454,3035,3037,3218,3231,3443,3529,3533,3653,3661,5425,5871,5904,6138,6274,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,1513,2049,2303,2308,2327,2330,2338,2345,2379,2454,2723,3034,3035,3218,3231,3443,3529,3533,3653,3661,3675,3680,4919,5274,5425,5904,6138,6781,8069,8155,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0708,1477,2049,2303,2330,2345,2368,2454,2723,3017,3035,3218,3264,3443,3529,3533,3653,3661,5274,5425,5904,6138,6515,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1477,2049,2308,2330,2345,2379,2454,2707,2723,3017,3027,3035,3218,3443,3479,3481,3529,3533,3653,3661,4953,5009,5274,5309,5425,5871,5904,6138,6274,6515,8046,8069,8114,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0802,1101,1795,2049,2303,2308,2317,2330,2376,2454,2882,3008,3017,3034,3035,3443,3529,3533,3661,4961,4966,5269,5274,6271,6415,6531,6719,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0803,1301,1795,2303,2308,2317,2330,2345,2368,2376,2377,2454,2881,2882,2912,3008,3017,3034,3443,3533,3665,3680,4551,4743,4961,5269,5274,5388,6279,6285,6515,6669,6719,6781,8069,8155,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0806,2201,2327,2345,2606,2732,3008,3105,3529,3675,3680,4743,4966,5274,5289,6417,6446,6469,6491,6669,6679,6732,6782,8069,8086,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2303,2308,2317,2327,2330,2345,2376,2454,3008,3017,3034,3035,3037,3443,3529,3533,3661,3665,3711,4961,4966,5269,5274,5289,6271,6415,6531,6719,8028,8046,8086,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,1215,1477,1590,2059,2201,2207,2303,2308,2327,2345,2376,2606,2618,2634,2732,3008,3105,3293,3529,3533,3653,3661,3665,4743,5274,6415,6417,6446,6491,6531,6669,6719,6732,6782,8069,8086,8255,8454,8924,NA,NA,NA,NA,NA,NA,NA,NA
T0812,1301,1305,1560,1605,1795,2002,2014,2031,2308,2356,2409,2610,2618,2634,2723,2882,2886,2912,3008,3443,3481,3533,3558,3661,4551,4743,4770,5269,5871,5876,5904,6138,6285,6446,6505,6589,6669,8069,9910,9958,NA,NA,NA,NA,NA,NA,NA
T0901,1513,1795,2204,2327,2330,2345,2368,2376,2383,2732,2748,3008,3034,3035,3037,3217,3324,3443,3529,3533,3592,3653,3661,3675,4919,4961,4966,5274,5289,6146,6245,6415,6472,6531,6533,6643,6719,6788,6799,8069,8299,8358,8996,9910,NA,NA,NA
T0902,1513,1519,1590,2049,2308,2330,2375,2454,2472,2603,2605,2609,2707,2727,2731,2748,3008,3017,3035,3324,3443,3624,3653,3661,3665,4966,5269,5274,5289,6472,6510,6643,6781,6799,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0903,1513,1795,2014,2204,2327,2330,2351,2376,2379,3008,3017,3034,3231,3324,3443,3481,3529,3533,3558,3587,3592,3624,3653,3661,4961,5009,5269,5425,6285,6472,8069,8255,8299,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0904,1102,1476,2201,2313,2330,2345,2376,2395,2472,2606,2618,2637,3008,3017,3034,3479,3533,3592,3653,3661,4919,4966,5009,5269,5274,5347,6213,6285,8069,8341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,1513,1590,2308,2327,2330,2376,2727,2748,3008,3017,3034,3035,3088,3443,3533,3587,3653,3661,3680,4163,4164,4551,4966,5269,5289,5309,5425,6138,6415,6472,6510,6643,6691,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0909,1476,2303,2308,2327,2330,2368,2376,3008,3017,3034,3324,3443,3533,3653,3661,4919,4966,5274,5289,5425,5483,5871,6223,6472,6488,6510,6679,6756,6799,8069,8299,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,2317,2327,2330,2345,2376,2723,2731,3008,3017,3034,3217,3324,3443,3479,3481,3533,3653,3661,3665,3680,4551,4919,4966,5274,5425,6271,6472,6799,8069,8255,9910,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0911,1476,1513,1590,2201,2204,2308,2330,2345,2351,2376,3008,3017,3034,3533,3592,3653,3661,3680,4551,4919,5009,6285,8069,8341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0922,1476,1513,2301,2308,2327,2330,2376,2727,2732,3008,3017,3034,3217,3324,3443,3533,3653,3661,3675,4919,4966,5274,5289,5425,6223,6472,6510,6799,8069,8454,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1001,1301,1477,1504,1513,1590,2103,2201,2308,2330,2345,2368,2454,2455,3034,3035,3037,3529,3533,3653,3661,3708,3711,4919,4966,5347,5425,6213,6643,6679,6732,6782,8046,8081,8299,8358,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1004,1513,2308,2330,2345,2454,2731,2753,3035,3037,3289,3533,3653,3661,4919,5009,5274,5347,5425,6146,6643,6679,6732,6782,8046,8299,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1005,1101,1476,1504,2049,2317,2330,2345,2368,2376,2449,2454,2645,2707,2753,3017,3035,3037,3533,3653,3661,4919,5009,5274,5347,5425,5457,5871,6643,6669,6679,6782,8046,8069,8299,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1010,1101,1504,1513,1590,2031,2049,2308,2330,2345,2454,2731,2753,3017,3035,3218,3289,3293,3533,3653,3661,4147,4919,4966,5009,5274,5347,5425,6146,6245,6643,6669,6679,6732,6768,8046,8069,8299,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1011,1504,1513,1590,1605,1802,2014,2308,2330,2345,2454,2637,2645,2707,3017,3289,3529,3533,3653,3661,4919,4966,5274,5347,5871,6245,6643,6669,8046,8069,8299,9910,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1012,2308,2327,2330,2345,2454,3008,3017,3023,3035,3289,3529,3533,3653,3661,3711,4919,4966,5274,5347,5425,6146,6643,6679,6732,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1017,1101,1504,1590,2049,2308,2330,2345,2454,2645,2707,3008,3023,3035,3037,3529,3533,3653,3661,4919,5274,5347,5425,6146,6643,6679,6732,6782,8046,8069,8299,8436,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1089,1504,2330,2345,2454,2645,2707,2753,3005,3008,3017,3023,3034,3035,3037,3289,3533,3653,3661,3711,4919,5009,5274,5347,5425,6146,6245,6643,6679,6732,6782,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1102,1216,1303,1326,1590,2002,2303,2308,2317,2330,2345,2379,2382,2395,2412,2454,2881,2882,2884,2885,2886,2891,2892,2912,3034,3045,3711,5871,5880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1104,1590,2303,2308,2317,2327,2330,2345,2377,2379,2395,2409,2454,3008,3023,3034,3035,3037,3045,3443,3529,3533,3661,3680,3711,4904,4919,4938,4966,5269,5274,5347,6415,6669,6781,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1111,1303,1476,1590,2002,2049,2327,2345,2377,2379,2395,2881,2884,3008,3023,3034,3035,3037,3443,3529,3533,3661,3665,3680,3711,4919,4966,5269,5274,5347,5871,5904,6409,6415,6669,6781,8046,8299,8454,8464,NA,NA,NA,NA,NA,NA,NA,NA
T1135,1216,1303,1476,1590,2002,2049,2303,2317,2327,2330,2345,2377,2379,2395,2409,2881,2884,2886,2891,3008,3023,3034,3035,3037,3529,3680,3711,4919,4966,5269,5274,5347,5871,5904,6415,6669,6781,8046,8464,NA,NA,NA,NA,NA,NA,NA,NA
T1201,1513,1795,2308,2317,2330,2351,2376,2408,3443,3481,3529,3680,5269,5274,6146,6472,6643,8069,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1405,1513,2308,2327,2338,2360,2497,3217,3289,3293,3324,3443,3529,3587,3653,3661,4977,5269,5274,5425,6143,6488,6515,6669,6679,6715,6732,8155,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1407,2308,2732,3034,3105,3162,3217,3218,3264,3289,3587,3594,4105,4966,5009,5269,5274,5425,6143,6146,6411,6488,6531,6589,6679,6683,6756,6788,8086,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1408,1513,2308,2327,2338,2360,2497,3217,3289,3293,3324,3443,3529,3587,3653,3661,4977,5269,5274,5425,6143,6488,6515,6669,6679,6715,8155,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1411,2303,2330,2351,2360,2376,2377,2412,2892,3289,3324,3443,3529,3533,3587,3653,3661,4105,4551,4572,4966,5269,5274,5425,6138,6488,6669,6679,8046,8069,8255,8464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1450,1717,2303,2317,2330,2376,2377,2892,3042,3044,3587,3665,4105,4572,5425,5434,5483,6138,6176,6271,6488,6669,8046,8464,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1601,2330,2379,2408,2454,3008,3034,3035,3105,3152,3260,3443,3529,3592,3661,3707,4966,5269,6104,6138,6415,6488,6531,6533,6643,6679,6719,6732,6756,6781,6799,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1603,1560,1589,1707,2049,2201,2303,2330,2345,2376,2637,2707,2727,2731,2732,2748,3017,3034,3037,3218,3533,3661,3680,4137,4164,4966,5269,5274,6416,6533,6679,6712,6719,6782,8255,8454,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1608,1589,1590,1783,2049,2330,2637,2707,2727,2729,2731,3008,3152,3529,3533,3624,3653,3661,3675,3708,4137,4164,4746,5425,6146,6205,6245,6274,6472,6488,6679,6741,6782,6806,8044,8069,8341,8358,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1609,1216,1301,1590,2049,2303,2308,2330,2345,2368,2376,2382,2408,2412,2454,2455,2707,3008,3034,3217,3218,3260,3529,3533,3653,3661,3675,3680,4147,4164,4919,4958,4979,5269,5274,6443,6719,6732,6799,8069,8454,NA,NA,NA,NA,NA,NA,NA
T1612,1589,1590,2049,2637,2707,2727,2731,2732,3217,3624,3653,3661,3675,4147,4164,4743,4746,4931,5309,5340,5904,6146,6205,6245,6274,6416,6472,6589,6679,6741,6747,6782,6806,6829,8044,8069,8358,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1613,2201,2303,2330,2345,2368,2376,2379,2383,2454,2634,2748,3017,3037,3231,3443,3481,3504,4572,4961,4966,5009,5371,6806,8046,8069,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1614,2049,2303,2308,2330,2344,2345,2368,2379,2454,2731,3008,3017,3034,3217,3260,3289,3443,3529,3533,3653,3661,3675,3680,4919,4966,5274,5309,5425,6146,6223,6415,6679,6732,8046,8069,8255,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1701,2313,2317,2330,2368,2454,3037,3189,3533,3665,5220,5309,5425,5439,6279,6290,6788,6829,8046,8109,8210,8349,8942,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1706,2330,2454,2634,2640,3008,3189,3293,3491,3551,3617,3669,4971,6143,6245,6290,6591,8210,8349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1713,1565,2330,2368,3037,3189,3533,3665,3675,5220,5309,5425,5439,6279,6290,6788,6829,8046,8109,8210,8349,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1718,2404,3029,3038,4557,5388,6139,6285,6470,6570,6670,6788,8049,8420,8938,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1802,1216,1513,1590,2303,2308,2317,2330,2345,2351,2377,2379,2382,2454,2606,2723,2727,2881,2912,3008,3037,3042,3443,3529,3592,3711,4137,4551,4966,5274,5871,6491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2003,1519,1590,2308,2330,2376,2377,2731,3034,3231,3293,3443,3529,3533,3592,3661,3680,4763,5009,5269,5425,6147,6669,6679,8299,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2004,1519,1590,2330,2379,2408,2454,3034,3035,3037,3217,3218,3443,3481,3529,3533,3587,3592,3653,3661,3680,4763,5269,5274,5347,5425,6104,8016,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2005,1101,1301,1303,1476,1504,1514,1590,2231,2308,2330,2454,2884,2891,3037,3533,3653,3661,3680,4743,4763,4919,5288,5309,6205,6715,6781,6782,6829,8028,8046,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2006,1519,1590,2330,2379,2408,2454,3034,3035,3037,3217,3218,3443,3481,3529,3533,3587,3592,3653,3661,3680,4763,4968,5269,5274,5347,5425,6104,8016,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2007,1590,2303,2308,2327,2330,2345,2351,2376,2379,2454,3008,3017,3034,3035,3037,3217,3443,3529,3533,3587,3592,3653,3661,3680,4763,5009,5269,5274,5309,5425,6205,6781,6782,8016,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2030,1532,2049,2231,2303,2308,2327,2330,2368,2454,3017,3023,3034,3035,3037,3217,3443,3533,3653,3661,3680,4572,4763,5009,5269,5425,5904,6488,6491,6715,6781,8028,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2036,1519,1590,2308,2330,2376,2377,2731,3034,3231,3293,3443,3529,3533,3592,3661,3680,4763,5009,5269,5274,5425,6679,8299,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2069,1519,1590,1605,2308,2330,2377,2731,3034,3231,3293,3443,3529,3533,3592,3661,3680,4763,5009,5269,5274,5904,6679,8299,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2101,1101,1301,1476,2002,2201,2303,2308,2317,2330,2345,2379,2408,2409,2412,2634,2881,3008,3023,3105,3481,3533,4966,5269,5274,5871,6669,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2203,2059,2201,2308,2317,2327,2330,2454,3035,3037,3264,3406,3533,3653,3661,4536,5009,5425,5483,5904,6146,6472,6488,6781,8016,8046,8050,8299,8454,9802,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2205,1513,1589,1590,1760,1795,2201,2303,2308,2327,2330,2345,2376,2707,2723,2727,2731,3023,3035,3324,3443,3529,3533,3587,3653,3661,4536,4919,5269,5289,5425,6245,6285,6472,8050,8069,8299,8436,8996,9939,NA,NA,NA,NA,NA,NA,NA,NA
T2208,1513,1590,2059,2308,2327,2330,2345,2408,3017,3023,3034,3035,3037,3218,3264,3443,3529,3533,3587,3653,3661,5269,5289,5483,5904,6205,6274,6282,6472,6488,6712,6781,8046,8069,8299,8454,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2210,1513,1590,2059,2308,2327,2330,2345,2408,2707,3017,3023,3034,3035,3037,3443,3529,3533,3587,3653,3661,5009,5269,5289,5483,5904,6205,6282,6472,6488,6712,6781,8046,8069,8299,8454,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2216,1513,1795,2201,2303,2308,2330,2376,2383,2731,2881,3008,3034,3035,3218,3443,3529,3533,3587,3653,3661,4536,5425,5871,6143,6415,6488,6781,8046,8050,8069,8454,8464,8996,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T22C2,1513,2059,2308,2327,2330,2454,2603,3023,3037,3406,3443,3529,3533,3653,3661,3707,4536,4966,5269,5483,5904,6146,6472,6488,6781,8016,8046,8050,8069,8299,8454,9802,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2501,1301,1513,2303,2308,2317,2330,2344,2368,2379,2382,2408,2454,3008,3034,3037,3231,3533,3592,3624,3653,3661,3665,3711,4915,4966,5269,5274,5285,5425,6411,6669,6781,6782,8046,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2506,1301,1590,1795,2027,2308,2330,2345,2351,2368,2377,2385,2892,3008,3017,3034,3037,3529,3533,3653,3661,3680,4966,5269,5274,6146,6533,6669,6781,8069,8436,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2520,2303,2308,2317,2330,2344,2345,2368,2408,2454,2606,3008,3034,3037,3533,3624,3653,3661,3675,3711,5269,5274,5285,5309,6411,6412,6669,6781,8028,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
