,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
T1613,2201,2301,2317,2330,2352,2356,2360,2368,2376,2382,2455,2610,2618,2634,2748,3017,3131,3231,3481,3504,3680,3711,4572,5009,5234,8069,8210,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1614,2301,2308,2330,2351,2360,2368,2382,3017,3035,3037,3044,3131,3217,3231,3443,3529,3533,3653,3661,3680,4147,4966,4968,5274,5289,5309,5425,6223,6515,6679,6741,6781,6799,8069,8996,NA,NA,NA,NA,NA,NA,NA,NA
T1701,2313,2330,2368,2454,3037,3038,3189,3533,3665,5220,5309,5425,5439,6279,6788,6829,8069,8109,8210,8349,8942,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1706,2330,2454,2634,2640,3008,3189,3293,3491,3551,3617,3669,4572,4971,6143,6245,6279,6591,8069,8210,8349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1718,2330,2368,2453,2916,3014,3023,3037,3038,3078,3189,3356,3533,3665,3675,4137,4138,5309,5425,5439,5508,5511,6203,6279,6515,6538,6577,6691,6776,6788,6829,8048,8069,8210,9802,9921,9941,9942,NA,NA,NA,NA,NA,NA
T1802,1216,1513,2303,2308,2317,2330,2345,2351,2377,2379,2382,2454,2455,2723,2727,2881,2882,2912,3008,3037,3042,3231,3443,3529,3680,3711,4551,4953,4966,5871,6488,6510,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2003,1504,1519,2301,2308,2317,2330,2376,2377,2382,2383,2634,2886,2891,3017,3131,3231,3443,3529,3583,3661,4763,5009,5388,8069,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2004,1477,1519,2308,2313,2317,2330,2345,2368,2376,2382,2383,2408,2455,3017,3037,3231,3443,3529,3653,3661,3680,4763,6515,6806,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2005,1301,1303,1476,1504,1514,2231,2308,2330,2454,2727,2884,2891,3008,3037,3624,3653,3661,3680,3715,4763,4768,5288,5289,6223,6679,6806,8255,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2007,1504,2303,2308,2327,2330,2345,2351,2376,2379,2454,2727,3008,3034,3037,3443,3529,3587,3624,3653,3661,3680,3715,4763,4768,5009,5269,5289,5425,6223,6679,6806,8255,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2030,1504,1532,2231,2303,2308,2327,2330,2368,2376,2454,2727,3008,3017,3023,3034,3037,3443,3624,3653,3661,3680,3715,4763,4768,5009,5269,5289,5425,6223,6679,6806,8028,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2036,1503,1504,1519,2301,2308,2317,2330,2376,2377,2382,2634,2886,2891,3017,3131,3231,3443,3529,3583,3661,3665,4763,5009,5388,8069,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2069,1504,1519,2301,2308,2317,2330,2376,2377,2382,2634,2886,2891,3017,3131,3231,3443,3529,3583,3661,4763,5009,5388,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2101,1101,1301,1476,2201,2308,2317,2330,2345,2379,2382,2408,2409,2412,2618,2634,2881,3008,3023,3105,3481,3533,3661,4966,5269,5274,5871,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2203,1513,1795,2301,2308,2330,2345,2368,2376,2382,2383,2707,2727,2731,3017,3260,3443,3515,3529,3533,3653,3661,5009,5274,6472,6669,8069,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
