,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36
T0922,1513,2317,2330,2345,2368,2379,2382,2383,2449,3008,3017,3035,3289,3374,3376,3443,3450,3653,3675,5269,5274,6223,6669,6805,8069,8299,8996,9958,NA,NA,NA,NA,NA,NA,NA,NA
T0945,2204,2303,2317,2330,2357,2454,2603,2618,2891,3008,3017,3034,3035,3042,3217,3479,3533,3653,3661,5483,6005,6121,6278,6669,6670,6805,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1001,1519,1773,2049,2308,2317,2330,2382,3017,3037,3529,3533,3587,3653,3661,3665,4958,5274,6223,6805,8069,8996,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1004,1519,1773,2308,2317,2327,2330,2351,2379,2382,2408,2454,3017,3034,3081,3406,3533,3653,5274,5443,6223,6269,6415,6472,6719,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1005,1519,1773,2308,2317,2330,2382,2454,2882,3008,3017,3037,3131,3529,3533,3587,3653,3665,4958,5274,6213,6223,6415,6643,6669,6805,8069,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1010,1519,1773,2049,2059,2317,2330,2357,2382,2454,3008,3017,3037,3131,3529,3533,3653,3661,3665,5274,6223,6643,6669,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1011,1503,1519,1560,1773,1815,2317,2382,2454,2637,3017,3037,3324,3406,3529,3563,3653,3665,5269,5534,6177,6223,6491,6669,6805,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1012,1519,1773,2308,2317,2327,2330,2351,2379,2382,2408,2454,3017,3034,3081,3406,3529,3533,3653,5274,5443,6223,6269,6415,6472,6719,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1017,1503,1519,1560,1773,1815,2317,2382,2454,2637,3017,3037,3324,3406,3529,3533,3563,3653,3665,5269,5534,6177,6223,6491,6669,6805,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1089,1476,1477,1519,1560,2049,2303,2317,2330,2344,2382,2454,2610,2890,3014,3017,3034,3037,3455,3529,3563,3587,3653,3665,5009,5274,6223,8069,9958,NA,NA,NA,NA,NA,NA,NA,NA
T1102,1216,2002,2303,2308,2317,2327,2330,2345,2357,2379,2382,2412,2454,2603,2609,2881,2882,2883,2884,2885,2886,2891,3008,3034,3711,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1104,1514,1519,1560,1773,2059,2324,2330,2345,2353,2368,2376,2382,2383,2454,3017,3131,3231,3324,3443,3491,3533,3587,3653,6669,6679,6811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1111,1319,1477,1514,1519,1560,1773,2059,2345,2353,2368,2376,2382,2383,2885,3017,3131,3324,3491,3533,3587,3653,3680,4551,6412,6669,6679,6811,8464,9921,NA,NA,NA,NA,NA,NA,NA
T1135,1303,1319,1477,1514,1519,1560,1773,2002,2059,2324,2330,2345,2353,2368,2376,2382,2383,2885,2891,3017,3131,3231,3324,3491,3533,3587,3653,4966,6669,6679,6811,9921,NA,NA,NA,NA
T1201,1519,1560,1795,2059,2303,2317,2330,2382,2383,2520,2603,2609,2618,2881,3017,3131,3443,3661,4966,5508,6472,6515,6643,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1287,1519,1560,2059,2303,2313,2317,2330,2382,2383,2881,3017,3037,3443,3653,3661,4966,5508,6176,6515,6643,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1405,1560,2317,2330,3017,3035,3289,3324,3363,3376,3443,3450,3483,3653,3675,4966,4968,5009,6415,6526,6643,6789,6805,8155,8255,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1407,2317,2382,3081,3131,3289,3324,3362,3363,3374,3443,3529,4107,4768,4966,4968,5269,5274,6223,6274,6451,6515,6526,6535,6667,6789,8069,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1411,1560,2317,2382,2449,3017,3035,3131,3324,3362,3363,3443,3450,3483,3653,3665,4768,4966,4968,6197,6223,6451,6515,6546,6789,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1450,1477,1582,2317,2327,2330,2357,2458,2727,3034,3078,3211,3479,3483,3526,3689,4107,4126,4536,4966,5009,5483,6121,6146,6197,6279,6488,6538,6670,6830,8050,8112,9802,9939,NA,NA,NA
T1601,2059,2308,2317,2330,2345,2383,2421,2520,2548,2603,2882,3017,3376,3443,3529,3653,4961,5269,5274,6143,6415,6515,6526,6679,6719,8155,8255,9904,NA,NA,NA,NA,NA,NA,NA,NA
T1603,1477,2308,2317,2327,2330,2345,2357,2382,2383,2454,3008,3017,3035,3376,3406,3443,3529,3661,3675,5269,6223,6526,6643,6669,8255,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1608,1215,2308,2317,2330,2360,2383,2439,2603,3008,3017,3035,3131,3293,3324,3376,3406,3443,3483,3529,3653,4966,5269,5274,6415,6515,6526,6643,6669,6679,8069,8255,8996,NA,NA,NA,NA
T1609,1795,2308,2317,2330,2354,2382,2383,2520,2548,2882,2891,3017,3034,3035,3406,3481,3491,3529,3533,3653,4958,4966,5269,5274,5483,6414,6415,6670,8155,9904,NA,NA,NA,NA,NA,NA
T1612,1795,2317,2603,2609,3105,3131,3217,3289,3293,3376,3406,3491,3529,3587,3624,3675,3680,3708,4768,5269,5274,5309,5904,6143,6274,6415,6472,6515,6585,6643,6679,6741,8069,8085,8086,8255
T1613,1795,2105,2233,2308,2317,2327,2330,2354,2357,2382,2383,2393,2454,2501,2520,2882,2891,3017,3376,3450,4958,5234,5371,6472,6526,6683,9904,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1614,2317,2330,2455,3008,3017,3035,3105,3376,3406,3443,3529,4966,5269,5274,6415,6526,6679,6719,6805,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1701,1342,2303,2313,2317,2330,2368,2383,2454,3037,3038,3479,3526,3533,3665,3675,5439,6279,6788,6829,8069,8109,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1706,1565,2317,2330,2383,2454,2634,2640,3008,3293,3357,3479,3491,4572,6143,6279,6290,6591,8069,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1718,1442,1582,1612,1720,2204,2393,2454,2603,2731,3010,3042,3526,4958,5508,5536,6523,6703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1802,1216,1513,2303,2308,2317,2330,2351,2357,2368,2379,2382,2383,2451,2454,2455,2618,2881,2882,2912,3008,3034,3037,3231,3533,3665,3680,3711,5871,6285,6415,8478,NA,NA,NA,NA,NA
T2003,1216,1560,2303,2317,2330,2345,2383,2454,3017,3131,3324,3406,3529,3533,3653,3665,5269,5274,6223,6446,6526,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2004,1560,2308,2313,2317,2330,2345,2379,2383,2454,2882,3008,3017,3035,3131,3376,3406,3443,3529,3533,3653,3665,5269,5274,6223,6526,6643,6669,8255,NA,NA,NA,NA,NA,NA,NA,NA
T2005,1476,1477,1503,1560,1795,2317,2330,2382,2383,2454,2606,2637,2809,2881,2882,2884,2891,3017,3105,3665,4572,4766,4966,5269,5274,6223,6446,6472,6515,6669,8255,NA,NA,NA,NA,NA
T2006,1503,1519,1795,2330,2357,2382,2383,2454,2603,3008,3017,3034,3037,3131,3231,3324,3533,3653,5274,6213,6274,6415,6669,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2007,2317,2330,2376,2382,2383,2454,3008,3017,3217,3324,3526,3665,3715,5269,5274,6274,6290,6669,8155,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2030,1503,1795,2317,2330,2357,2382,2383,2454,2603,3008,3017,3034,3037,3131,3324,3533,3653,5274,6213,6274,6415,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2036,1216,1560,2317,2330,2345,2382,2383,2454,3008,3017,3131,3324,3406,3529,3533,3653,3665,4966,5269,5274,6223,6446,6526,6669,8069,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2069,1216,2308,2313,2317,2330,2345,2454,3008,3017,3131,3293,3406,3529,3533,3653,3665,5269,5274,6223,6446,6669,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2101,1590,2308,2317,2330,2345,2382,2383,2408,2458,2881,2882,2891,3008,3017,3105,3533,3711,4966,5269,5274,5871,6274,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2203,1319,2317,2330,2348,2382,2404,2454,2504,2540,2548,2603,2637,2881,2891,3005,3017,3131,3293,3529,3533,3587,3653,5269,5508,5534,6177,6223,6415,6669,6679,9958,NA,NA,NA,NA,NA
T2205,1519,1560,2059,2317,2327,2330,2348,2382,2454,2520,2540,2548,2881,3017,3030,3131,3324,3533,3653,3708,5508,5534,6177,6197,6223,6669,8299,8996,9958,NA,NA,NA,NA,NA,NA,NA
T2208,1477,1519,2313,2317,2327,2330,2345,2382,2454,3017,3034,3131,3443,3529,3533,3653,3665,3675,3708,5269,5289,6138,6223,6285,6472,6526,6669,8069,8299,9914,9958,NA,NA,NA,NA,NA
T2216,1319,2317,2330,2348,2382,2404,2454,2504,2540,2548,2603,2637,2881,2891,3017,3131,3293,3529,3533,3587,3653,5269,5508,5534,6177,6223,6415,6669,9958,NA,NA,NA,NA,NA,NA,NA
T22C2,1477,1519,2308,2317,2330,2345,2351,2881,3017,3037,3131,3217,3374,3443,3533,3653,3661,3665,3708,5009,5234,5269,6223,6285,6472,6526,6643,6669,6679,6805,8069,8299,9938,NA,NA,NA
T22C8,2303,2317,2330,2357,2385,2404,2412,2454,2474,2882,3014,3034,3042,3045,3264,3711,4938,5347,5434,5483,5536,6121,6147,6176,6191,6269,6285,6691,8016,8081,8112,NA,NA,NA,NA,NA
T2501,1519,2308,2317,2330,2357,2382,2383,2454,2520,3017,3023,3105,3324,3413,3529,3533,3653,3661,5269,5274,5508,5534,6177,6223,6274,6415,6446,8114,8299,8996,NA,NA,NA,NA,NA,NA
T2506,2308,2317,2330,2357,2382,2383,2454,2520,2882,3017,3023,3105,3324,3413,3529,3533,3653,3661,5269,5274,5508,5534,6177,6223,6274,6415,6446,6669,8114,8299,8996,NA,NA,NA,NA,NA
T2520,2308,2317,2330,2368,2382,2408,2454,3017,3037,3324,3413,3529,3533,3653,3661,5269,5274,6223,6274,6415,6446,6669,6679,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2578,2204,2303,2317,2330,2382,2385,2454,2492,2603,2606,2610,2834,2882,2885,3034,3711,6239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2620,1795,1815,2330,2345,2348,2360,2368,2383,2455,3131,3217,3406,3443,3680,4768,4770,4958,5269,6213,6223,6239,6274,6472,6526,6531,6535,6643,6719,6811,NA,NA,NA,NA,NA,NA,NA
T2701,2301,2317,2330,2345,2357,2379,2382,2383,2454,2882,2891,3017,3034,3035,3413,3443,3450,3529,3587,3665,5269,5388,6138,6176,6239,6643,6669,6805,8114,NA,NA,NA,NA,NA,NA,NA
T2703,1519,2317,2330,2345,2382,2383,2454,2455,3017,3376,3406,3443,3529,3533,3653,3665,5269,5274,6223,6239,6415,6643,6669,6805,8114,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3101,1477,1513,1560,2059,2317,2330,2345,2360,2368,2382,2383,2454,2457,2881,2882,2890,2891,3017,3023,3231,3324,3529,3653,3680,5274,6531,6669,8069,8210,8299,8464,9921,NA,NA,NA,NA
T3201,1519,2059,2308,2330,2376,2382,2383,2454,2455,2912,3017,3131,3443,3529,3533,3661,5269,6515,6805,8069,8464,9802,9914,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3203,1503,1519,2059,2308,2317,2330,2345,2376,2382,2383,2408,2455,3017,3131,3324,3376,3443,3529,3533,3653,3661,3665,5269,5289,5347,5871,6176,6223,6415,6515,6669,6805,9914,NA,NA,NA
T3205,1503,1514,1519,2059,2330,2344,2360,2376,2377,2382,2455,3017,3131,3324,3376,3515,3533,3548,3583,3653,3665,4770,5269,6187,6415,6805,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3207,1477,1503,1519,2059,2330,2345,2376,2382,2383,2455,3017,3131,3376,3443,3529,3533,3653,3661,4770,5269,6223,6415,6515,6679,6805,8464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3218,1503,1519,2059,2308,2317,2330,2345,2368,2376,2382,2383,2421,2455,3017,3037,3131,3324,3376,3529,3533,3653,3661,3665,4770,5269,5274,6515,6669,6679,6805,6811,NA,NA,NA,NA,NA
T3219,1503,1519,2059,2308,2317,2330,2345,2368,2376,2382,2383,2421,2455,3017,3037,3131,3376,3529,3533,3653,3661,3665,4770,5269,5274,6515,6669,6679,6805,6811,NA,NA,NA,NA,NA,NA
T3223,1503,1519,2059,2308,2317,2330,2345,2360,2376,2382,2383,2408,2455,3017,3131,3324,3376,3443,3529,3533,3653,3661,3665,5269,5289,5347,5871,6176,6223,6415,6515,6669,6679,6805,9914,NA
T3228,1503,1514,1519,2059,2330,2344,2360,2376,2377,2382,2455,3017,3131,3324,3376,3515,3533,3548,3583,3653,3665,4770,5269,6187,6805,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3236,1102,1519,2006,2303,2330,2376,2382,2454,2455,2618,2891,3017,3034,3036,3211,3533,5269,5534,6121,6176,6269,6278,6670,6805,8422,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3303,1560,2059,2313,2317,2330,2368,2376,2382,2383,2412,2454,3008,3017,3044,3045,3131,3324,3529,3533,5269,6415,6515,6526,6669,6805,8299,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3601,1319,1519,2317,2330,2345,2382,2383,2454,3017,3131,3374,3443,3529,3533,3653,3675,3708,4979,5269,5274,6274,6415,6515,6526,6643,8069,8996,9921,NA,NA,NA,NA,NA,NA,NA,NA
T3604,1519,2308,2317,2330,2345,2357,2382,2383,2454,2891,3017,3037,3131,3374,3443,3529,3533,3653,3661,5269,5274,6138,6415,6446,6526,6643,8069,9958,NA,NA,NA,NA,NA,NA,NA,NA
T3619,1519,2317,2330,2357,2382,2383,2454,2618,2891,3017,3037,3374,3443,3529,3533,3653,3661,3675,4979,5269,5274,6415,6446,6515,6526,6643,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3701,1795,2204,2317,2330,2382,2449,2454,3017,3131,3217,3324,3443,3529,3533,3583,3653,3665,3680,4746,5274,6187,6213,6223,6274,6515,8996,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3703,2204,2317,2330,2382,2449,2454,3008,3017,3037,3131,3324,3443,3529,3583,3653,3665,3680,4746,5274,6187,6213,6274,6515,8996,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3707,1795,2317,2330,2382,2449,2454,3008,3017,3037,3131,3324,3443,3529,3583,3653,3665,3680,4746,4968,5274,6187,6213,6223,6274,6515,6546,8210,8996,9958,NA,NA,NA,NA,NA,NA,NA
T3786,1102,1477,2204,2317,2330,2357,2382,2383,2393,2449,2454,2603,2809,2881,2891,3008,3017,3034,3044,3526,3529,3653,3665,3711,5289,6121,6187,9958,NA,NA,NA,NA,NA,NA,NA,NA
T3803,2308,2313,2317,2330,2345,2357,2382,2454,2455,2881,2882,2884,2885,2891,3017,3034,3037,3533,3653,3661,3711,4958,5269,5289,6231,6669,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4001,1476,1590,2303,2308,2317,2330,2368,2376,2382,2454,2457,3017,3035,3037,3189,3324,3443,3532,3533,3596,3711,6279,6412,6415,6491,6670,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA
T4101,1560,2313,2317,2330,2353,2356,2376,2382,2393,2449,2454,2504,2809,3017,3034,3037,3044,3293,3661,5269,6239,8081,8150,9933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4112,1477,2317,2330,2357,2382,2393,2451,2454,2458,2890,2891,3017,3034,3044,3293,3413,3526,3661,3665,5434,5536,6005,6176,6223,6239,6257,6691,8081,NA,NA,NA,NA,NA,NA,NA,NA
T4209,1477,1590,2317,2330,2345,2382,3008,3017,3034,3036,3293,3443,3529,3653,5269,5274,5904,6285,6290,6415,6491,6538,6643,6679,8299,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4301,2059,2317,2330,2376,2382,2454,2472,2609,2637,3017,3131,3443,3529,3533,3653,5269,5274,6223,6415,6515,6526,6643,6669,6789,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4303,1519,2059,2330,2376,2382,2454,2472,2637,3017,3131,3443,3529,3533,3587,3653,3661,5269,5274,6223,6415,6515,6526,6669,6789,8147,8210,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA
