,BOP,MINUS_DM,STDDEV,ADXR,TAN,COS,HT_DCPHASE,SIN
43,0.050610278,-0.01991806,0.058699388,-0.011873855,0.0857123,0.042211305,-0.011969863,-0.062055442
44,-0.0014839539,-0.06260229,0.022565108,-0.062183477,-0.021148017,0.08845095,-0.0025684112,0.006022057
45,-0.06242694,0.033838116,-0.079700634,0.02617518,-0.03912401,0.03658984,0.03807685,0.014727533
46,0.017560257,-0.0068348437,-0.009973501,0.07928604,-0.011838198,-0.07690635,-0.032018255,0.023258625
47,-0.13018927,0.05210484,-0.06886684,0.013472579,0.059177745,-0.0042919926,-0.008726053,0.092058636
48,-0.17877735,0.042920966,-0.02928643,0.019707298,-0.087210104,-0.010916094,0.0786646,0.15962563
49,0.15728746,-0.08055763,-0.0795064,-0.07839745,-0.0140697695,-0.003697486,0.02964527,-0.11865161
50,0.6648938,-0.047723908,0.028394675,-0.14325555,0.05445142,-0.09335733,-0.10334049,-0.3150417
51,-0.29659644,0.008203624,-0.053101033,-0.0132451635,-0.06723757,0.023944492,0.030383406,0.23554698
52,-0.0778055,0.04132115,-0.07913611,-0.008102826,-0.068669155,0.0747475,0.044343516,-0.03670448
53,0.21781212,-0.045484513,-0.05251634,-0.06499613,-0.086196996,-0.06490698,0.018754715,-0.050008874
54,-0.033014372,-0.0791399,-0.05017155,0.070750356,-0.038626302,-0.08103204,-0.03719837,7.945356e-05
55,0.032086883,0.032122705,0.04450007,0.06667368,0.022695994,-0.0032682952,0.06583397,-0.03639601
56,-0.06317337,0.060701434,0.0077235657,0.009362872,0.012871874,-0.077160895,-0.018469721,-0.07728296
57,-0.25154263,-0.056462795,-0.04109792,0.09516705,0.01862023,0.104918666,-0.05490841,0.28643048
58,-0.13417815,0.08931663,0.0017663353,0.0002611494,0.03503416,0.061543323,-0.031057552,0.16485906
59,0.24971038,-0.030825203,-0.078663684,-0.024191394,0.029100437,-0.0076208087,-0.01162618,-0.09130133
60,0.050189044,-0.052802533,0.044049934,0.017928679,0.079680055,-0.075355195,0.058367856,-0.010139574
61,0.24555801,-0.00902754,-0.019779742,0.011246796,0.04757397,0.04872583,-0.08951788,-0.087616324
62,0.11514543,0.03862942,0.056510516,-0.05815739,-0.043871637,-0.007836123,-0.009824599,-0.09355804
63,-0.06618412,-0.010779681,-0.064123146,0.08749595,0.067552716,-0.043442048,0.00065807416,0.08512054
64,-0.12221987,0.07088117,-0.08706669,0.091981515,0.047089797,-0.03902584,-0.009046538,0.020633364
65,-0.13680166,0.012378029,-0.08333324,0.034002107,-0.0040346473,0.04722446,0.020675585,0.08768902
66,-0.26732224,0.07660662,-0.0036849047,-0.020781165,0.0039463863,-0.04262319,0.010840901,0.14352036
67,-0.020344282,-0.071047075,0.072561584,-0.046034914,0.05189994,-0.0018028541,-0.012453656,-0.10646138
68,-0.027836788,0.076988764,-0.029195003,-0.026217133,-0.07076758,-0.025112893,0.08795468,0.043890852
69,0.39728832,-0.0022598722,0.06374215,0.041605905,0.02403976,0.042600498,-0.06378087,-0.2255732
