instrument,datetime,open,high,low,close,volume
9958,2022-01-14,110.2703,110.2703,107.904,108.8505,2491009
9958,2022-01-17,108.8505,109.3238,107.4307,107.904,1312161
9958,2022-01-18,108.8505,110.7435,108.8505,109.3238,1512860
9958,2022-01-19,108.3772,108.8505,106.0109,106.4842,1851427
9958,2022-01-20,106.4842,107.904,106.0109,107.4307,1030162
9958,2022-01-21,106.0109,107.904,105.0644,105.0644,2092954
9958,2022-01-24,104.5911,105.0644,102.2248,103.1713,2376999
9958,2022-01-25,102.6981,103.6446,99.3852,99.8585,2848668
9958,2022-01-26,99.8585,100.805,99.3852,100.3318,1752988
9958,2022-02-07,101.7515,104.5911,101.7515,104.1179,1626336
9958,2022-02-08,104.5911,106.9574,104.1179,104.5911,1400879
9958,2022-02-09,106.0109,106.0109,103.6446,104.5911,1098877
9958,2022-02-10,105.0644,106.4842,104.1179,106.0109,1088868
9958,2022-02-11,105.0644,106.4842,105.0644,105.5376,992107
9958,2022-02-14,104.1179,105.0644,103.1713,104.1179,825341
9958,2022-02-15,104.5911,104.5911,102.6981,102.6981,822761
9958,2022-02-16,104.5911,105.0644,103.1713,103.6446,631728
9958,2022-02-17,104.1179,105.5376,103.6446,104.5911,954574
9958,2022-02-18,104.5911,106.0109,103.6446,105.5376,679143
9958,2022-02-21,105.5376,108.8505,105.5376,107.4307,2774721
9958,2022-02-22,106.9574,107.904,105.0644,105.5376,1247519
9958,2022-02-23,106.0109,106.4842,104.1179,105.5376,1054445
9958,2022-02-24,105.5376,105.5376,102.2248,102.6981,1426289
9958,2022-02-25,104.1179,104.5911,102.6981,102.6981,1053996
9958,2022-03-01,104.1179,106.4842,104.1179,105.5376,1501328
9958,2022-03-02,105.5376,107.4307,105.0644,106.4842,1063459
9958,2022-03-03,107.4307,107.904,105.5376,107.904,1497405
9958,2022-03-04,106.4842,108.3772,106.0109,106.0109,1506744
9958,2022-03-07,106.0109,106.0109,102.2248,102.2248,2612244
9958,2022-03-08,101.7515,103.1713,99.3852,99.3852,2453256
9958,2022-03-09,100.3318,101.2783,99.3852,99.8585,2200874
9958,2022-03-10,101.2783,102.6981,99.8585,100.805,1775670
9958,2022-03-11,100.805,101.2783,99.8585,100.805,999318
9958,2022-03-14,101.2783,101.7515,100.3318,101.7515,796364
9958,2022-03-15,101.2783,101.7515,99.8585,99.8585,929615
9958,2022-03-16,100.805,100.805,99.3852,100.805,739680
9958,2022-03-17,101.7515,101.7515,100.805,101.7515,832509
9958,2022-03-18,101.7515,104.5911,101.7515,103.1713,2087864
9958,2022-03-21,104.1179,105.0644,103.1713,103.6446,1128066
9958,2022-03-22,103.6446,106.0109,103.6446,106.0109,1495221
9958,2022-03-23,107.4307,107.4307,105.0644,105.5376,1190209
9958,2022-03-24,105.0644,115.4762,105.0644,113.1099,15715603
9958,2022-03-25,113.1099,115.0029,109.3238,112.6366,9477832
9958,2022-03-28,111.2168,115.4762,108.8505,115.0029,7458699
9958,2022-03-29,111.6901,112.6366,106.9574,107.4307,11062510
9958,2022-03-30,106.9574,108.3772,105.5376,106.4842,3745912
9958,2022-03-31,106.4842,109.797,105.0644,105.0644,5214084
9958,2022-04-01,105.0644,110.7435,105.0644,109.3238,7398825
9958,2022-04-06,107.904,111.6901,107.904,108.8505,3218527
9958,2022-04-07,108.3772,109.797,105.5376,106.0109,2581371
9958,2022-04-08,107.4307,110.2703,106.0109,110.2703,2555244
9958,2022-04-11,111.6901,112.1633,108.8505,108.8505,4804434
9958,2022-04-12,107.4307,112.6366,107.4307,112.1633,6176720
9958,2022-04-13,113.1099,113.1099,110.2703,111.2168,4915934
9958,2022-04-14,112.1633,118.789,111.2168,117.3692,15063766
9958,2022-04-15,117.3692,127.781,116.4227,123.5216,34041034
9958,2022-04-18,126.3612,128.7275,121.1553,125.4147,24564460
9958,2022-04-19,126.8345,128.7275,123.5216,126.3612,11960299
9958,2022-04-20,127.781,127.781,122.1019,123.9949,8802704
9958,2022-04-21,124.9414,126.3612,120.6821,120.6821,7170223
9958,2022-04-22,120.6821,123.9949,120.2088,121.6286,5092034
9958,2022-04-25,120.2088,122.5751,116.4227,120.6821,6480664
9958,2022-04-26,122.5751,130.6206,121.6286,126.3612,49006386
9958,2022-04-27,123.0484,126.8345,121.1553,126.8345,12458269
9958,2022-04-28,126.3612,126.8345,118.3158,118.3158,10563268
9958,2022-04-29,119.2623,122.5751,117.3692,120.6821,5233747
9958,2022-05-03,119.7355,120.6821,116.4227,116.896,4178087
9958,2022-05-04,116.896,117.3692,113.5831,114.0564,5467356
9958,2022-05-05,115.4762,118.3158,115.4762,115.4762,2762549
9958,2022-05-06,113.1099,116.4227,112.6366,113.1099,2782855
9958,2022-05-09,113.1099,113.5831,108.8505,109.797,3234397
9958,2022-05-10,108.3772,112.1633,107.904,111.2168,2467404
9958,2022-05-11,110.7435,113.5831,109.3238,109.3238,3297942
9958,2022-05-12,108.8505,110.7435,106.0109,106.0109,2465378
9958,2022-05-13,106.9574,115.0029,106.4842,109.797,9100242
9958,2022-05-16,111.2168,112.6366,108.3772,112.1633,4336456
9958,2022-05-17,111.6901,113.5831,110.2703,112.1633,2460741
9958,2022-05-18,112.6366,115.0029,112.1633,113.5831,2540181
9958,2022-05-19,113.1099,113.1099,109.3238,112.6366,2776419
9958,2022-05-20,114.0564,116.896,111.2168,111.2168,6419632
9958,2022-05-23,112.6366,113.5831,111.2168,113.1099,1628011
9958,2022-05-24,113.5831,114.0564,108.3772,108.3772,4692677
9958,2022-05-25,109.3238,110.2703,107.904,108.8505,2232323
9958,2022-05-26,109.3238,109.797,106.0109,106.4842,2482460
9958,2022-05-27,107.4307,107.904,106.4842,106.9574,1498879
9958,2022-05-30,107.904,112.1633,107.4307,110.2703,4354057
9958,2022-05-31,109.3238,109.797,108.8505,109.797,1879339
9958,2022-06-01,108.8505,110.2703,107.904,107.904,1823124
9958,2022-06-02,108.8505,108.8505,106.4842,106.4842,2032348
9958,2022-06-06,106.9574,107.904,106.4842,106.9574,1164619
9958,2022-06-07,106.9574,107.904,106.4842,107.904,1503405
9958,2022-06-08,108.3772,108.8505,106.4842,107.4307,1763144
9958,2022-06-09,107.904,109.797,107.4307,108.3772,2372213
9958,2022-06-10,107.4307,109.3238,106.9574,107.4307,1900492
9958,2022-06-13,106.9574,107.4307,106.0109,106.0109,1347426
9958,2022-06-14,105.5376,106.4842,101.7515,104.1179,3062948
9958,2022-06-15,105.5376,109.3238,102.2248,102.2248,13458432
9958,2022-06-16,103.1713,103.6446,99.8585,99.8585,3802019
9958,2022-06-17,97.4922,98.4387,93.99,95.5991,7767516
9958,2022-06-20,95.5991,97.4922,93.6114,94.4633,3732861
9958,2022-06-21,94.6526,95.5991,94.0847,95.5991,2099093
9958,2022-06-22,95.5991,97.9654,94.3686,94.3686,2637480
9958,2022-06-23,94.6526,96.0724,93.7061,96.0724,2002005
9958,2022-06-24,96.0724,101.7515,96.0724,101.7515,4756523
9958,2022-06-27,101.2783,102.6981,100.3318,102.2248,3293690
9958,2022-06-28,102.6981,106.0109,101.7515,102.6981,5501601
9958,2022-06-29,102.6981,105.0644,102.2248,104.5911,3488612
9958,2022-06-30,106.0109,107.4307,104.1179,104.5911,5700598
9958,2022-07-01,105.0644,107.4307,102.6981,103.1713,6061054
9958,2022-07-04,104.1179,106.4842,101.7515,106.4842,3464178
9958,2022-07-05,106.4842,108.3772,105.5376,106.4842,5261636
9958,2022-07-06,106.4842,106.4842,100.805,100.805,4233767
9958,2022-07-07,100.805,102.2248,99.3852,100.3318,2293121
9958,2022-07-08,100.805,101.2783,98.4387,99.3852,2704221
9958,2022-07-11,99.3852,99.8585,98.4387,98.912,850761
9958,2022-07-12,96.0724,96.5457,90.8665,92.7595,4968749
9958,2022-07-13,95.1259,95.1259,91.1505,91.2451,3336487
9958,2022-07-14,91.0558,91.813,86.9857,91.1505,4464036
9958,2022-07-15,90.9611,90.9611,88.6895,89.3521,2011521
9958,2022-07-18,89.7307,89.7307,87.2697,89.4467,3273607
9958,2022-07-19,89.3521,93.3275,89.1627,92.1916,2336357
9958,2022-07-20,92.3809,92.9489,91.813,92.1916,2067112
9958,2022-07-21,92.5702,92.7595,91.0558,92.5702,1542547
9958,2022-07-22,92.5702,94.6526,92.4756,92.7595,2299123
9958,2022-07-25,92.8542,97.0189,92.8542,94.6526,3410402
9958,2022-07-26,95.5991,97.0189,93.99,94.0847,1751344
9958,2022-07-27,95.1259,95.5991,94.1793,95.5991,860755
9958,2022-07-28,96.0724,96.5457,94.6526,95.1259,1489569
9958,2022-07-29,95.1258,96.5456,95.1258,96.5456,1097171
9958,2022-08-01,96.5456,98.912,96.0724,96.0724,1922112
9958,2022-08-02,96.0724,96.5456,93.0435,93.6114,1902273
