datetime,cum_bench,cum_wo_cost,cum_w_cost
2022-10-27,-0.13480853440906976,0.04357621599999965,0.0017360548201166334
2022-10-28,-0.13393031207354197,0.026256451999999587,-0.01566664097206407
2022-10-31,-0.1317342875995382,0.03815775199999959,-0.005864884463284642
2022-11-01,-0.1317342875995382,0.05706490999999986,0.011988379592954011
2022-11-02,-0.1251462141775266,0.06967786199999974,0.02275715878312877
2022-11-03,-0.13480853440906976,0.07435508399999977,0.029382199237183243
2022-11-04,-0.1383223610215498,0.08289073799999983,0.036782694447637126
2022-11-07,-0.12338976950647089,0.08601990399999976,0.03895985177671197
2022-11-08,-0.10889675779434048,0.08403769799999981,0.03631975535627288
2022-11-09,-0.09923443756279718,0.11401229599999993,0.06511614311451397
2022-11-10,-0.09132949927267824,0.10925796199999988,0.05829463511454691
2022-11-11,-0.046532661997810594,0.11262411599999964,0.062169636762585474
2022-11-14,-0.03555347689815996,0.1178522239999996,0.06686760220612373
2022-11-15,-0.02325648966003332,0.11738372199999972,0.06480790248326583
2022-11-16,0.010121582712235466,0.12035160399999975,0.06279139301383785
2022-11-17,0.0008988422836405212,0.13994277799999966,0.08122153552914238
2022-11-18,0.009243360376707685,0.12833621199999987,0.06911010351546727
2022-11-21,0.004412668896120433,0.12638742799999966,0.0665928786895196
2022-11-22,-0.003931849196946731,0.12110064199999987,0.058332092645849806
2022-11-23,0.015831433798719288,0.14358741599999963,0.08151464700583111
2022-11-24,0.01890568060825098,0.15621817799999965,0.09387325555948851
2022-11-25,0.02461459442436601,0.14291224999999982,0.0805304510875116
2022-11-28,0.006608693370124343,0.14574187399999988,0.08322471977515977
2022-11-29,2.0619948112606153e-05,0.1500204219999997,0.08612140839660082
2022-11-30,0.010999805047763243,0.17126906599999978,0.1068937040747216
2022-12-01,0.04701348169698416,0.19177351599999962,0.12910107516941277
2022-12-02,0.030324445510849833,0.2043108579999998,0.13871477982639582
2022-12-05,0.030324445510849833,0.22968380999999966,0.1622989017223063
2022-12-06,0.02593239656284201,0.20796087199999955,0.13946814274768765
2022-12-07,0.00572953376422777,0.19670607999999967,0.12910670348084802
2022-12-08,0.0017770646191682974,0.20271259399999975,0.13369475984388757
2022-12-09,0.001338422086588736,0.20021334999999998,0.12746854610673092
2022-12-12,0.003094866757644296,0.20186676599999978,0.12874288675253767
2022-12-13,0.00572953376422777,0.2047878279999998,0.13334014893831678
2022-12-14,0.002216644422116516,0.22937285399999974,0.15632431601884683
2022-12-15,0.003973089093172076,0.22629894399999972,0.1520783695623164
2022-12-16,-0.01183772475743447,0.21823215799999962,0.1432336137392839
2022-12-19,-0.01315458962554181,0.2137377500000001,0.13754410525929175
2022-12-20,-0.014911971566966161,0.18119753399999972,0.10488396935929875
2022-12-21,-0.02676937900214458,0.18279940400000003,0.10584786553082244
2022-12-22,-0.01842486090907728,0.18784400400000018,0.11110571697736399
2022-12-23,-0.027647601337672356,0.18638468200000013,0.11137504671959063
2022-12-26,-0.026769379002144576,0.17886337999999996,0.10627264924126172
2022-12-27,-0.02149910771860897,0.17513925199999983,0.10240886108117536
2022-12-28,-0.029404983279096707,0.1577291699999998,0.08419509554021044
2022-12-29,-0.04082374818169556,0.16516363999999994,0.09107193869439675
2022-12-30,-0.028526760943568926,0.16415227799999976,0.08940720791420709
2023-01-03,-0.03730992156921552,0.16880598000000008,0.09396284234635664
2023-01-04,-0.031161427950152268,0.17153409400000028,0.09672990777692757
2023-01-05,-0.022816909857085104,0.17177604000000007,0.09572456390287189
2023-01-06,-0.02325648966003332,0.17785196600000017,0.10135539521922936
2023-01-09,0.001338422086588742,0.18923192000000008,0.11235974206307373
2023-01-10,0.01846610080530263,0.18407804399999983,0.10431977656293902
2023-01-11,0.024614594424366015,0.18627673000000006,0.10582700483769907
2023-01-12,0.023297729556258674,0.1820952919999998,0.10261427272764188
2023-01-13,0.04086498807792091,0.17564133599999987,0.09510591932169929
2023-01-16,0.03735116146544087,0.17861525999999994,0.09700689319502695
2023-01-17,0.03954718593944478,0.18151595999999995,0.10007371026640786
2023-01-30,0.08495137441326872,0.194031024,0.11287899260150791
2023-01-31,0.08315556438672515,0.19610484600000003,0.11549840433427237
2023-02-01,0.06968324010617392,0.19969751599999988,0.11778940129602863
2023-02-02,0.08046091207654121,0.20857937600000004,0.12614830870065147
2023-02-03,0.0862991692035451,0.20171962400000001,0.11928855670065144
2023-02-06,0.07866510204999777,0.206025892,0.12364788718958236
2023-02-07,0.06968324010617392,0.20559701999999996,0.12141822506191748
2023-02-08,0.07866510204999777,0.20855935800000008,0.12383541502959423
2023-02-09,0.08225765937345345,0.21092779400000003,0.12613951456339018
2023-02-10,0.08585021669690925,0.20669160799999994,0.1262787788926524
2023-02-13,0.08405346939999701,0.20954023199999985,0.12756799547178424
2023-02-14,0.08899382151372906,0.20763715199999985,0.12185050654931492
2023-02-15,0.07731730725972127,0.20644336600000007,0.12038573337483742
2023-02-16,0.07147998740308617,0.21726205799999995,0.13038742147763954
2023-02-17,0.07147998740308617,0.2252834180000001,0.13717648827087034
2023-02-20,0.06474382526281056,0.23182746999999998,0.14466720799321828
2023-02-21,0.06878533509290222,0.23413816999999998,0.14593592380955356
2023-02-22,0.05531301081235099,0.23137356800000008,0.14209433805218752
2023-02-23,0.05935452064244252,0.241175392,0.1508270110024433
2023-02-24,0.07686835475308541,0.2456417059999999,0.15401230149027112
2023-03-01,0.053517200785807406,0.2537260679999999,0.16209666349027116
2023-03-02,0.07192893990972202,0.26305657600000004,0.17142717149027129
2023-03-03,0.07597044973981368,0.26436040999999993,0.17172938226227058
2023-03-06,0.07911405455663362,0.27564465999999993,0.1818678887588917
2023-03-07,0.08270661188008929,0.285568386,0.1900162399046784
2023-03-08,0.08225765937345343,0.2814488119999998,0.183609483355671
2023-03-09,0.08450242190663286,0.282783974,0.18494464535567118
2023-03-10,0.06743847757299462,0.27378656199999996,0.1747764799556546
2023-03-13,0.059354520642442496,0.2710492299999999,0.16657894072112553
2023-03-14,0.05576196331898682,0.278832706,0.17386249506791496
2023-03-15,0.06339603047253416,0.279810226,0.17397928160452733
2023-03-16,0.052618358502166875,0.26554120799999986,0.1586897991877344
2023-03-17,0.058456615629170774,0.2806154219999998,0.17202364471571632
2023-03-20,0.06833638258626634,0.2820099959999998,0.1734182187157164
2023-03-21,0.06429487275617468,0.2882623019999999,0.177223052743711
2023-03-22,0.07282684492299388,0.29746254599999983,0.18429765519778518
2023-03-23,0.08360451689336103,0.30389330999999986,0.19072841919778524
2023-03-24,0.09572904638363602,0.3098885759999998,0.1967236851977852
2023-03-27,0.0934842838504566,0.31618575399999993,0.2039481231831723
2023-03-28,0.08629916920354512,0.2996313099999999,0.187657873898161
2023-03-29,0.08360451689336104,0.30975563599999983,0.19832094423090496
2023-03-30,0.0903406790336368,0.31975193599999985,0.206918010639296
2023-03-31,0.09303533134382075,0.3289282239999998,0.2159612604158634
2023-04-06,0.08540126419027341,0.32941503999999994,0.21591482508008147
2023-04-07,0.08899382151372909,0.34368614599999986,0.2271653377615869
2023-04-10,0.08899382151372909,0.3452810419999998,0.22691855701576483
2023-04-11,0.086748121710181,0.3474263520000001,0.22831324645271758
2023-04-12,0.08540126419027341,0.37206381999999993,0.2520255425931054
2023-04-13,0.0782161495433618,0.36093308999999996,0.24058763103299738
2023-04-14,0.07776625976635729,0.35547589800000007,0.23434889512427787
2023-04-17,0.0809098645831771,0.36207955,0.24038861867281378
2023-04-18,0.0809098645831771,0.3496903759999999,0.2260461982243666
2023-04-19,0.07776625976635729,0.35302710199999987,0.22939286970560935
2023-04-20,0.06743847757299466,0.33778361999999984,0.2142758166666132
2023-04-21,0.0728268449229939,0.3197416779999998,0.1959810090628909
2023-04-24,0.058007663122534955,0.3278674259999998,0.20351743352782614
2023-04-25,0.06249812545926248,0.29765225599999995,0.17162713385791423
2023-04-26,0.046781038645531806,0.2972924559999998,0.17073072103468281
2023-04-27,0.042290576308804284,0.3055610619999999,0.177819199333769
2023-04-28,0.04947569095571589,0.3260579519999999,0.19831608933376899
2023-05-02,0.054864058305715134,0.3272358040000001,0.19884949462246707
2023-05-03,0.05396615329244328,0.31815932799999985,0.19030331194047173
2023-05-04,0.050822548475623466,0.31778713999999975,0.1904410033435728
2023-05-05,0.05710975810926322,0.32769552999999974,0.19919357938305238
2023-05-08,0.0642948727561747,0.33813660599999984,0.2085080534163582
2023-05-09,0.06519277776944642,0.3378885899999999,0.20762192102451293
2023-05-10,0.06698858779598998,0.3348565179999998,0.20385928046793508
2023-05-11,0.0620491729526266,0.30093749000000003,0.16907155669161972
2023-05-12,0.05216940599553104,0.3197693019999999,0.18707328693866254
2023-05-15,0.0503735959689876,0.32454418999999973,0.19058655036604705
2023-05-16,0.058905568135806656,0.3371029899999999,0.20271600148114005
2023-05-17,0.06564173027608228,0.3468062519999999,0.21306001547130796
2023-05-18,0.09393323635709246,0.3400985099999999,0.20588464479434546
2023-05-19,0.10111835100400393,0.33247168000000005,0.19759587853583632
2023-05-22,0.10022044599073221,0.3456557140000001,0.21063899984282736
