,instrument,datetime,open,high,low,close,volume
230,Y9999,2022-10-07,13847.52,13847.52,13684.21,13702.28,4357709000
231,Y9999,2022-10-11,13394.12,13394.12,13106.03,13106.03,6460863000
232,Y9999,2022-10-12,13076.91,13130.73,12991.59,13081.24,5210228000
233,Y9999,2022-10-13,13108.4,13111.39,12809.43,12810.73,6478076000
234,Y9999,2022-10-14,13023.71,13221.87,13023.71,13128.12,6287512000
235,Y9999,2022-10-17,12988.83,12988.83,12814.82,12966.05,6425009000
236,Y9999,2022-10-18,13075.05,13143.15,12978.13,13124.68,5468726000
237,Y9999,2022-10-19,13096.35,13155.62,12976.76,12976.76,5000186000
238,Y9999,2022-10-20,12912.93,12946.1,12698.91,12946.1,6796733000
239,Y9999,2022-10-21,12931.2,12954.02,12813.6,12819.2,4618735000
240,Y9999,2022-10-24,12913.58,13027.84,12856.77,12856.98,5107731000
241,Y9999,2022-10-25,12830.29,12843.31,12629.48,12666.12,5248243000
242,Y9999,2022-10-26,12666.42,12791.97,12635.52,12729.05,4591945000
243,Y9999,2022-10-27,12807.69,12954.32,12807.69,12926.37,5119538000
244,Y9999,2022-10-28,12874.83,12891.38,12723.98,12788.42,4697989000
245,Y9999,2022-10-31,12862.37,12977.61,12826.34,12949.75,4529501000
246,Y9999,2022-11-01,12933.12,13062.9,12907.61,13037.21,4329893000
247,Y9999,2022-11-02,13033.15,13100.17,13014.04,13100.17,4381658000
248,Y9999,2022-11-03,12985.55,12991.37,12905.35,12986.6,4684705000
249,Y9999,2022-11-04,12941.78,13029.94,12868.25,13026.71,5249914000
250,Y9999,2022-11-07,13109.35,13246.59,13103.35,13223.73,6060917000
251,Y9999,2022-11-08,13274.91,13389.25,13274.91,13347.76,6109681000
252,Y9999,2022-11-09,13410.19,13638.81,13410.19,13638.81,6414308000
253,Y9999,2022-11-10,13556.51,13559.4,13463.85,13503.76,5126398000
254,Y9999,2022-11-11,13878.95,14045.51,13878.95,14007.56,8386262000
255,Y9999,2022-11-14,14080.91,14217.3,14076.94,14174.9,7093934000
256,Y9999,2022-11-15,14325.49,14568.51,14278.53,14546.31,7913371000
257,Y9999,2022-11-16,14637.85,14657.66,14481.06,14537.35,6982139000
258,Y9999,2022-11-17,14489.41,14545.89,14383.55,14535.23,5900998000
259,Y9999,2022-11-18,14584.31,14669.98,14470.48,14504.99,5735383000
260,Y9999,2022-11-21,14514.71,14530.76,14421.65,14449.39,4538087000
261,Y9999,2022-11-22,14404.08,14542.79,14371.09,14542.2,4540344000
262,Y9999,2022-11-23,14595.5,14647.98,14573.41,14608.54,4486340000
263,Y9999,2022-11-24,14649.8,14784.0,14649.8,14784.0,5601547000
264,Y9999,2022-11-25,14764.94,14835.66,14756.01,14778.51,5565055000
265,Y9999,2022-11-28,14636.9,14638.19,14503.12,14556.87,5256730000
266,Y9999,2022-11-29,14503.79,14716.58,14449.05,14709.64,6002496000
267,Y9999,2022-11-30,14678.23,14879.55,14678.23,14879.55,7413107000
268,Y9999,2022-12-01,15059.92,15152.38,14998.03,15012.8,7511123000
269,Y9999,2022-12-02,14933.2,15021.73,14921.06,14970.68,5601577000
270,Y9999,2022-12-05,14972.17,15088.06,14969.97,14980.74,6107215000
271,Y9999,2022-12-06,14955.29,14957.82,14728.88,14728.88,6452710000
272,Y9999,2022-12-07,14708.08,14823.15,14630.01,14630.01,6813484000
273,Y9999,2022-12-08,14631.21,14634.16,14464.2,14553.04,5406640000
274,Y9999,2022-12-09,14620.27,14742.79,14620.27,14705.43,5485304000
275,Y9999,2022-12-12,14658.46,14658.46,14538.66,14612.59,4583948000
276,Y9999,2022-12-13,14617.86,14658.7,14515.74,14522.96,4995730000
277,Y9999,2022-12-14,14557.56,14739.36,14557.56,14739.36,5425439000
278,Y9999,2022-12-15,14692.92,14756.38,14649.54,14734.13,5242285000
279,Y9999,2022-12-16,14554.21,14568.31,14447.77,14528.55,7782196000
280,Y9999,2022-12-19,14478.45,14493.72,14411.81,14433.32,5688846000
281,Y9999,2022-12-20,14410.75,14451.91,14157.99,14170.03,7111544000
