,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44
T0406,1101,1210,1215,1216,1303,1304,1476,1477,1504,1590,1795,2002,2006,2049,2204,2211,2603,2606,2618,2707,2727,2912,3708,5871,6491,6505,8464,8926,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1216,1476,2049,2301,2303,2308,2327,2330,2345,2368,2376,2377,2379,2382,2408,2449,2454,2455,2618,2881,2885,2886,3008,3017,3037,3152,3443,3529,3533,3653,3661,3665,3711,4966,5269,5274,5425,5483,6285,6488,6505,6643,6669,6679
T0410,2313,2330,2345,2368,2377,2379,2383,2408,2449,2454,2455,3017,3035,3529,3533,3661,3711,4919,4966,5269,5274,5347,6285,6643,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0415,1476,2308,2330,2345,2368,2376,2377,2379,2382,2455,3017,3037,3231,3443,3529,3533,3653,3661,3711,4966,5269,5274,5347,5483,6121,6274,6285,6488,6669,6679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0502,1476,1795,2330,2345,2351,2382,2383,2408,2454,2455,3017,3034,3035,3293,3443,3529,3533,3653,4966,5269,5274,6515,6643,6669,8069,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1476,1795,2059,2330,2345,2351,2368,2382,2383,2454,2455,3035,3293,3443,3529,3533,3653,3680,3715,4755,4966,5269,5274,6515,6643,6669,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,2330,2345,2368,2383,2408,2454,3019,3044,3443,3529,3533,3653,4770,4966,5269,5274,5425,6282,6415,6488,6515,6531,6643,6669,8086,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,1795,2059,2345,2454,3035,3131,3293,3324,3443,3529,3587,3680,4966,4968,5269,5274,5289,5347,5439,6138,6274,6284,6472,6488,6531,6643,6679,6703,6732,6830,8069,8086,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0508,2330,2345,2383,2408,2454,3019,3044,3443,3529,3653,4770,4966,5269,5274,5425,6143,6415,6510,6515,6531,6643,6669,8086,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,1476,1795,2330,2345,2368,2382,2383,2454,2455,3017,3035,3044,3231,3443,3526,3529,3533,3653,3680,3715,4572,4966,5269,5274,5425,6515,6643,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,2330,2337,2345,2368,2376,2382,2408,2454,2455,3017,3034,3035,3231,3260,3443,3529,3680,5274,6138,6415,6531,6643,6679,6719,8086,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1476,1477,1795,2059,2330,2345,2351,2368,2382,2383,2454,2455,3017,3035,3293,3443,3529,3533,3653,3680,3715,4966,5269,5274,6515,6643,6669,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,1319,1477,1504,2303,2308,2330,2353,2357,2377,2379,2382,2385,2412,2439,2449,2454,2458,2886,3005,3014,3034,3044,5388,5483,6121,6176,6239,6285,6488,8016,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0601,1536,2059,2308,2317,2327,2330,2344,2347,2360,2379,2382,2383,2408,2454,2455,2727,2912,3008,3034,3035,3037,3042,3081,3105,3152,3376,3406,3711,5289,6121,6271,6279,6488,6510,6670,8069,8464,9910,9914,NA,NA,NA,NA,NA
T0605,2059,2308,2317,2327,2330,2344,2347,2379,2382,2383,2408,2454,2455,3008,3034,3035,3037,3042,3081,3105,3131,3152,3376,3406,3711,5289,6121,6271,6488,6510,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0606,1536,2059,2308,2317,2327,2330,2344,2347,2379,2382,2383,2408,2454,2455,2727,2912,3008,3034,3035,3037,3042,3081,3105,3131,3152,3376,3406,3711,5289,6121,6271,6279,6488,6510,6670,8069,8464,9914,NA,NA,NA,NA,NA,NA
T0704,2301,2308,2330,2345,2357,2368,2376,2379,2383,2385,2454,2881,3017,3035,3218,3231,3443,3529,3533,3653,3661,5269,5388,6138,6274,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,1590,2330,2345,2368,2376,2379,2383,2454,2606,2881,3017,3035,3218,3231,3443,3529,3533,3587,3653,3661,6138,6274,6669,6719,9802,9914,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0708,1477,2014,2031,2345,2379,2395,2454,2603,2609,2882,3035,3443,3529,3661,5871,6138,6719,9914,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1477,2014,2059,2207,2345,2368,2376,2379,2382,2383,2454,3017,3035,3231,3443,3529,3533,3653,3661,3715,4572,5269,5388,6138,6274,6669,6679,6719,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0802,1476,1477,2330,2368,2379,2382,2408,2454,3017,3034,3037,3443,3529,3533,3653,3661,3675,4966,5269,5274,6510,6515,6531,6669,6679,6719,6811,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0803,2059,2308,2330,2345,2368,2376,2382,2383,2408,2454,2881,2882,3017,3034,3443,3529,3533,3653,3661,3680,4551,4966,5269,5274,5388,6285,6515,6669,6719,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0806,1319,1476,1477,2345,2356,2376,2382,3105,3131,3264,3293,3529,3661,4966,5009,5269,5274,5388,6121,6446,6510,6515,6643,6679,6782,6811,8069,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2330,2357,2368,2379,2382,2383,2408,2454,3017,3037,3443,3529,3533,3653,3661,4966,5269,5274,6510,6515,6531,6643,6669,6679,6719,6811,8261,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,1476,1477,1519,1590,2059,2207,2345,2368,2376,2382,2383,2408,2731,3017,3131,3260,3293,3443,3529,3533,3653,3661,4966,5009,5274,5388,5904,6491,6510,6515,6531,6669,6679,6719,6805,8069,8299,NA,NA,NA,NA,NA,NA,NA
T0812,1101,1210,1476,1477,2105,2204,2324,2330,2357,2368,2376,2377,2382,2408,2610,2637,2882,2886,3017,3131,3443,3533,3653,3661,4766,4770,5009,5388,6285,6669,6719,6811,8069,8299,9910,9958,NA,NA,NA,NA,NA,NA,NA,NA
T0901,1519,2330,2345,2368,2376,2382,2383,2454,3008,3017,3034,3035,3037,3217,3231,3324,3443,3529,3533,3653,3661,5274,5289,6643,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0902,1519,2059,2357,2376,2379,2382,2454,2731,2748,3008,3017,3034,3443,3515,3653,3661,5274,6643,6669,6679,6683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0903,1519,1795,2327,2330,2345,2368,2376,2382,2383,2421,2454,2455,3008,3017,3260,3443,3529,3533,3548,3653,3661,5274,6285,6415,6515,6526,6669,6805,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0904,1795,2345,2357,2368,2382,2454,3008,3017,3036,3293,3443,3479,3529,3653,3661,5009,5439,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,1519,1795,2327,2382,2455,2731,3006,3035,3260,3443,3529,3661,3711,4770,4961,5289,5483,6485,6488,6531,6669,6691,8086,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0909,1476,1477,2324,2330,2345,2357,2368,2382,2454,2458,2731,3008,3017,3293,3376,3443,3529,3653,3661,5274,6223,6531,6643,6669,6683,6805,8299,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,2313,2324,2327,2330,2345,2368,2382,2383,2454,3005,3008,3017,3217,3231,3260,3324,3376,3443,3529,3533,3653,3661,5289,6488,6669,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0911,1795,2059,2345,2368,2376,2382,2383,2454,3008,3017,3034,3037,3260,3443,3533,3653,3661,5274,6285,6515,6643,6669,6679,8069,8086,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0922,1503,1795,2324,2327,2330,2345,2368,2382,2454,3008,3017,3036,3289,3376,3443,3533,3653,3661,3675,3715,5274,5439,6526,6643,6669,6805,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0945,1477,2303,2330,2345,2357,2376,2377,2382,2383,2454,3005,3008,3017,3034,3044,3217,3324,3443,3529,3533,3653,3661,5289,5483,6121,6285,6488,6669,6691,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1001,2049,2059,2204,2345,2368,2376,2382,2383,2454,2455,3008,3017,3529,3533,3653,3661,3715,4966,5274,6510,6643,6669,8069,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1004,1560,2308,2330,2345,2353,2376,2382,2383,2454,2610,2882,3008,3017,3035,3081,3491,3661,3680,3715,5274,6462,6510,6643,6669,6719,6789,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1005,2049,2204,2330,2345,2368,2376,2382,2383,2449,2454,2455,2618,3008,3017,3023,3491,3529,3533,3653,3661,3715,4966,4979,5274,6488,6510,6643,6669,8155,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1010,2049,2204,2308,2330,2345,2368,2382,2383,2454,2455,3017,3491,3529,3533,3661,3680,3715,4966,4979,5274,6643,6669,8464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1011,1503,1560,2059,2204,2345,2376,2382,2383,2454,2455,2610,2748,3017,3231,3491,3653,3661,3715,4979,6643,6669,6789,8112,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1012,1560,2308,2330,2345,2353,2376,2382,2383,2454,3008,3017,3035,3081,3491,3529,3653,3661,3680,3715,4966,5274,6462,6510,6643,6669,6719,6789,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1017,1503,1560,2204,2345,2376,2382,2383,2454,2610,2748,3017,3231,3491,3529,3533,3653,3661,3715,4979,6643,6669,6789,8112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1089,1102,1476,1560,2204,2301,2303,2330,2345,2368,2382,2383,2385,2454,2603,2610,2890,3005,3017,3529,3661,3680,4966,5009,6412,6488,6643,8069,8112,8464,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1102,1216,1303,2002,2303,2308,2317,2327,2330,2345,2357,2379,2382,2395,2412,2454,2881,2882,2884,2885,2886,2891,2892,2912,3008,3034,3037,3045,3711,5871,6415,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1104,1560,1590,2059,2301,2303,2330,2345,2357,2360,2368,2376,2382,2383,2454,3008,3017,3034,3035,3037,3045,3131,3231,3443,3529,3653,3680,4904,4966,5274,6669,6811,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1111,1476,1477,1560,1590,2059,2301,2345,2357,2360,2368,2376,2382,2383,2454,2884,3008,3017,3034,3035,3037,3131,3218,3443,3529,3653,3665,3680,5274,5904,6409,6669,6781,6811,8210,8464,9910,9921,NA,NA,NA,NA,NA,NA,NA
T1135,1303,1476,1477,1560,2002,2059,2301,2330,2345,2357,2360,2368,2376,2379,2382,2383,2454,2603,2884,2886,2891,3008,3017,3034,3037,3131,3231,3529,3653,3680,4966,5274,5904,6669,6781,6811,8210,8464,9910,9921,NA,NA,NA,NA
T1201,1476,2059,2330,2368,2385,2408,2454,2606,3017,3035,3260,3529,3533,3653,3661,3711,4966,5222,5274,6146,6274,8069,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1287,1477,2059,2330,2345,2383,3017,3037,3044,3260,3653,5274,6274,6669,8069,8299,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1405,1560,1590,2059,2327,2330,2345,2357,2376,2382,2454,3260,3324,3362,3483,3529,3533,3583,3661,4919,4966,5269,5274,6669,6679,6732,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1407,1560,2059,2351,2357,2376,3017,3324,3362,3363,3479,3483,3529,3587,3661,4768,4966,4967,5274,5439,6138,6274,6667,6669,6679,8086,8155,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1408,1560,2059,2327,2330,2345,2357,2376,2382,2454,3260,3324,3362,3483,3529,3533,3583,3661,4919,4966,5269,5274,6669,6679,6732,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1411,1795,2330,2345,2368,2376,2377,2379,2382,2383,2886,2892,3017,3035,3324,3443,3529,3533,3653,3661,4768,4919,4966,5274,6274,6679,6806,6830,6863,8086,8464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1450,1476,1477,2317,2330,2345,2377,2379,2382,2892,3042,3044,3533,4572,5234,5306,5434,6146,6176,6279,6488,6830,8464,9802,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1601,2344,2377,2379,2408,2455,3006,3034,3035,3131,3443,3529,3661,3680,4966,5269,5274,6415,6531,6643,6719,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1603,1477,1795,2327,2330,2345,2368,2376,2382,2383,2454,2455,2891,3008,3017,3037,3231,3443,3529,3533,3653,3661,4966,5871,6271,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1608,1519,1795,2059,2345,2357,2368,2455,2458,2729,2731,2748,3006,3017,3035,3131,3491,3529,3533,3583,3624,3653,3661,3675,3680,4572,4746,4768,4966,5274,5483,5904,6121,6274,6415,6669,6741,6806,NA,NA,NA,NA,NA,NA,NA
T1609,1476,1560,1795,2204,2330,2345,2368,2383,2408,2454,2455,3008,3017,3034,3035,3037,3231,3443,3491,3515,3529,3533,3653,3661,4966,5269,5274,6415,6515,6669,8155,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1612,1519,1795,2059,2377,2748,3006,3035,3131,3217,3293,3483,3491,3529,3624,3661,3675,3680,4147,4746,4768,4966,4979,5222,5274,5309,5340,5904,6146,6187,6274,6443,6472,6585,6719,6741,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1613,2233,2327,2330,2353,2356,2357,2368,2376,2377,2379,2382,2408,2454,2458,3037,3217,3231,3481,3515,3653,3661,5009,6285,6515,6669,6679,6799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1614,2330,2344,2345,2368,2382,2383,2454,2455,3006,3017,3035,3037,3131,3217,3443,3529,3653,3661,4966,5269,5274,6138,6415,6643,6669,6719,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1701,1342,2313,2330,2368,2383,2454,3037,3038,3526,3533,3665,3675,5425,5439,6279,6788,6829,8069,8109,8210,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1706,2330,2454,2634,2640,3008,3293,3357,3479,3491,3617,4572,6143,6245,6279,6290,6591,6782,8069,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1718,2006,2392,2548,3217,3227,3293,3338,3526,3622,3712,4933,5904,6170,6189,6290,6538,6605,6829,8112,9927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1802,1216,1513,2303,2308,2313,2317,2330,2351,2357,2368,2379,2382,2454,2455,2727,2881,2882,2912,3008,3034,3037,3042,3443,3533,3680,3702,3711,4966,5871,6488,8046,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2003,1476,2313,2330,2368,2382,2383,2408,2454,2458,3017,3034,3217,3231,3260,3324,3443,3529,3533,3661,3680,3715,4763,5269,5274,6138,6274,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2004,1477,1519,2313,2327,2330,2357,2368,2379,2408,2454,2455,3008,3037,3443,3529,3653,3661,4966,5269,5274,6121,6285,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2005,1476,1477,1504,1519,2330,2357,2368,2376,2382,2383,2454,2634,2881,2882,2884,2891,3017,3037,3515,3529,3533,3661,3715,4572,4763,4766,4768,4770,4966,5009,5269,6274,6491,6669,8464,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2007,2303,2330,2368,2376,2382,2383,3017,3217,3324,3443,3515,3526,3529,3661,3715,5274,5425,6274,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2030,1476,2313,2330,2368,2382,2383,2408,2454,2458,3017,3034,3217,3231,3260,3324,3443,3529,3533,3661,3680,3715,4763,5269,5274,6274,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2036,1476,2313,2330,2368,2382,2383,2408,2454,2458,3017,3034,3044,3231,3260,3324,3443,3529,3661,3680,5269,5274,6274,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2069,1476,2059,2313,2330,2368,2382,2383,2408,2454,2458,3017,3034,3044,3231,3324,3443,3529,3533,3661,3680,3715,5269,5274,6138,6274,6669,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2101,1476,1590,2201,2301,2308,2330,2345,2382,2383,2408,2454,2458,2881,2891,3023,3105,3533,3661,3711,4966,5269,5274,5871,6274,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2203,2014,2324,2330,2345,2379,2382,2383,2454,2455,2609,3008,3017,3131,3231,3443,3529,3653,3661,3680,3711,5274,5904,6669,6805,8086,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2205,1519,1560,2059,2313,2327,2330,2344,2345,2368,2382,2383,2449,2454,2455,3005,3017,3035,3036,3443,3529,3653,3661,3715,5269,5439,6138,6285,6669,6679,6805,8210,8299,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2208,2059,2301,2308,2327,2330,2345,2357,2368,2377,2382,2383,2449,2454,2492,2731,2753,3008,3017,3036,3231,3443,3529,3533,3587,3653,3661,3675,4966,4968,5274,5289,6121,6138,6223,6414,6679,6805,8299,NA,NA,NA,NA,NA,NA
T2210,2059,2301,2308,2327,2330,2344,2345,2357,2368,2377,2382,2383,2449,2454,2492,2731,2753,3008,3017,3036,3231,3443,3529,3533,3587,3653,3661,3675,4966,4968,5274,5289,6121,6138,6223,6414,6805,8299,NA,NA,NA,NA,NA,NA
T22C2,1795,2059,2301,2303,2308,2327,2330,2344,2345,2357,2377,2382,2454,2753,3008,3037,3231,3293,3443,3653,4915,4938,4958,5483,6121,6138,6669,6781,6805,8069,8299,8464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2501,1503,1795,2330,2345,2356,2357,2368,2454,3017,3035,3105,3152,3376,3529,3661,3715,4966,5269,5274,6138,6415,6669,6679,6691,6799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2506,1560,2308,2330,2345,2368,2376,2382,2408,2881,2882,3017,3037,3131,3231,3374,3406,3529,3532,3533,3587,3653,3661,4966,5269,5274,6182,6213,6279,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2520,1795,2330,2345,2357,2368,2379,2454,2455,3017,3034,3105,3293,3529,3661,3680,3711,3715,4768,4966,5269,5274,6274,6415,6488,6669,6679,6789,6799,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2578,1504,1605,2204,2303,2308,2317,2330,2357,2454,2492,2610,2882,2885,2886,2891,3034,3711,5269,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2620,1477,1795,2330,2382,2383,2723,2748,3017,3019,3044,3491,3653,3661,3680,4164,4572,4966,5222,6274,6414,6510,6669,6719,6781,6811,9910,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2701,1477,2301,2303,2347,2357,2382,2383,2408,2412,2449,2454,2891,3017,3034,3035,3037,3231,3443,3529,3661,3702,5388,5425,5483,6138,6239,6271,6415,6669,8114,8299,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2703,1477,1590,2303,2330,2345,2368,2377,2382,2383,2408,2454,2881,3008,3017,3035,3105,3443,3529,3653,3661,4966,5269,5274,5483,6138,6271,6415,6669,8114,8299,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3101,1303,1477,2301,2308,2317,2330,2345,2360,2368,2382,2383,2457,2881,2882,2890,2891,3008,3017,3023,3231,3443,3529,3533,3653,3661,3680,5222,5274,6531,6669,8069,8210,8299,8454,8464,9910,NA,NA,NA,NA,NA,NA,NA,NA
T3201,1519,2308,2330,2345,2376,2382,2383,2421,2912,3017,3035,3231,3443,3529,3661,5274,5483,6285,6669,6781,8069,8464,9802,9914,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3203,1477,1519,2313,2324,2330,2357,2368,2382,2383,2408,2421,2455,3017,3035,3036,3037,3231,3443,3529,3653,3661,5269,5274,5871,6239,6285,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3205,2313,2357,2368,2382,2383,2385,2421,3017,3035,3036,3231,3443,3529,3548,3583,3661,6285,6643,6669,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
