,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
T0509,2308,2313,2330,2345,2360,2368,2376,2634,3017,3034,3037,3189,3443,3533,3596,3653,3680,4551,4915,4919,5274,5388,6279,6472,6669,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,1513,2308,2313,2330,2345,2360,2368,2376,2408,2454,2634,3017,3034,3037,3443,3529,3533,3592,4919,4958,4961,4966,5274,5388,6279,6285,6488,6643,6669,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1216,1477,1513,1760,2308,2313,2330,2345,2360,2368,2376,2408,2454,2634,2723,3017,3034,3035,3443,3533,3653,4162,4919,4966,5274,5388,6443,6472,6643,6669,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,2308,2313,2330,2345,2360,2368,2376,2377,2379,2382,2383,2454,3017,3037,3189,3533,3596,3711,4551,4915,4919,4958,5274,5388,6239,6279,6669,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0601,1301,1536,2059,2303,2308,2317,2327,2330,2347,2360,2379,2382,2408,2454,2455,2727,2912,3008,3034,3037,3042,3081,3105,3152,3376,3406,3711,4438,5269,5289,6121,6271,6279,6488,6510,6670,8044,8069,8464,9910,9914,NA,NA
T0605,1536,2059,2303,2308,2317,2327,2330,2347,2379,2382,2408,2454,2455,2912,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,4438,5269,5289,6121,6271,6488,6510,8044,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA
T0606,1301,1536,2059,2303,2308,2317,2327,2330,2347,2379,2382,2408,2454,2455,2727,2912,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,4438,5269,5289,6121,6271,6279,6488,6510,6670,8046,8069,8464,9914,NA,NA,NA
T0704,1605,2027,2308,2330,2345,2376,2385,2409,2454,3035,3037,3218,3443,3529,3533,3653,3661,4915,5871,5904,6274,6279,8069,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,2308,2330,2360,2368,2376,2603,2891,3017,3035,3037,3218,3443,3529,3533,3587,3653,3661,3680,4919,5274,5871,5904,6488,6669,8069,8454,9802,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0708,1477,1605,2014,2027,2330,2345,2368,2376,3017,3035,3218,3443,3529,3533,3653,3661,5274,5871,6669,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1605,1707,2014,2308,2330,2345,2360,2368,2376,3008,3017,3035,3218,3443,3529,3533,3587,3653,3661,5274,5309,5388,5871,6274,6279,6669,8069,8114,9802,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0802,1101,1477,2308,2317,2330,2345,2368,2376,2454,2723,2882,2886,2891,3008,3017,3034,3443,3533,3653,3661,5871,6271,6285,6669,8069,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0803,1301,1402,1477,1605,1795,2105,2308,2317,2330,2345,2368,2454,2723,2881,2882,2912,3008,3017,3045,3443,3533,3558,3596,3653,3665,4551,4743,5269,5388,5871,6279,6285,6515,6589,6669,8069,8155,9910,NA,NA,NA,NA,NA
T0806,1590,2368,2376,2409,3008,3105,3217,3324,3443,3533,3653,3680,3707,4743,4770,4966,5009,5269,5274,6415,6446,6469,6488,6491,6643,6679,6781,8069,8916,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2308,2317,2330,2345,2354,2368,2376,2454,2723,3008,3017,3034,3443,3533,3653,3661,3711,4953,4966,6271,6285,6446,6669,6719,6799,8028,8069,8255,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,1215,1477,2059,2207,2308,2345,2360,2376,2634,2707,2723,2890,3008,3293,3443,3533,3596,3653,3661,3665,4551,4743,4770,6415,6446,6491,6669,8046,8069,8255,8924,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0812,1301,1402,1605,1795,2002,2105,2207,2308,2360,2618,2634,2723,2881,2882,2884,2886,2890,2912,3008,3558,3665,4551,4743,4770,5269,5871,5876,5904,6285,6505,6589,8069,8155,9910,9958,NA,NA,NA,NA,NA,NA,NA,NA
T0901,1477,1605,1795,2308,2327,2330,2345,2368,2376,2383,2637,3008,3017,3035,3443,3454,3515,3529,3533,3558,3592,3653,3661,3680,3707,4551,4966,5274,5483,6245,6533,6643,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA
T0902,1476,1590,1605,2201,2204,2308,2327,2330,2368,2376,2618,2723,3008,3017,3443,3515,3533,3592,3653,3661,4114,4137,4770,4977,6533,6643,8069,8255,8341,8436,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0903,1477,1605,1752,1760,2014,2201,2308,2327,2330,2368,2376,3008,3017,3034,3035,3515,3533,3587,3653,3661,4551,4770,4977,4979,5009,5425,6285,6533,6669,8299,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0904,1476,1605,2201,2308,2330,2345,2351,2368,2376,2618,3008,3017,3081,3454,3515,3533,3558,3653,3661,3707,4114,4551,5009,5274,6279,6285,6533,6643,8069,8341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,1476,1590,1605,2201,2204,2308,2327,2330,2368,2376,2618,2723,3008,3017,3443,3515,3533,3592,3653,3661,4114,4137,4770,4977,6510,6533,6643,8069,8255,8341,8436,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0909,1319,1476,1477,2308,2317,2327,2330,2345,2368,2376,2634,2881,2882,3008,3017,3034,3289,3443,3533,3587,3653,3661,4551,5425,5871,6223,6271,6510,8069,8255,8299,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,1476,2317,2327,2330,2345,2368,2376,2383,2603,2723,2882,3008,3017,3034,3217,3324,3443,3533,3596,3653,3661,3665,3680,4551,4977,5425,6121,6223,6271,6414,6510,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0911,1476,1605,2201,2308,2330,2345,2351,2368,2376,3008,3017,3081,3454,3515,3533,3558,3653,3661,3707,4551,5009,5274,6279,6285,6533,6643,8069,8341,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0922,1305,1319,1476,1477,1605,1760,2327,2330,2368,2376,2383,2723,2882,3008,3017,3034,3217,3289,3443,3454,3533,3587,3653,3661,3680,5347,5425,6121,6223,6510,8069,8255,8299,8996,9802,9910,NA,NA,NA,NA,NA,NA,NA
T1001,1216,1476,1477,1513,1605,2014,2308,2330,2345,2368,2454,2606,2886,2891,2912,3034,3035,3037,3533,3653,3711,4147,4919,4966,5009,5425,5483,6643,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1004,1476,1513,1605,2014,2308,2330,2345,2368,2454,2606,2731,2753,3005,3035,3289,3533,3653,3661,3707,4919,4966,5009,5274,5425,6146,6643,6679,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1005,1476,1513,1605,2014,2308,2317,2330,2345,2368,2376,2454,2606,2753,3017,3035,3218,3533,3653,3661,3665,4919,4966,5009,5274,5425,5871,6285,6669,8069,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1010,1513,1909,2031,2308,2330,2345,2368,2454,2606,2731,2753,2891,3017,3034,3035,3218,3289,3293,3533,3653,3661,4147,4919,4966,5009,5274,5425,6121,6146,6245,6271,6643,6669,6679,6768,8069,9910,NA,NA,NA,NA,NA,NA
T1011,1513,1605,2014,2308,2330,2345,2368,2454,2606,2891,3005,3017,3037,3289,3443,3529,3533,3653,3661,3665,5009,5274,5425,5871,6245,6271,6669,8069,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1012,1513,2308,2327,2330,2345,2368,2376,2454,3017,3034,3035,3289,3533,3653,3661,3711,4919,4966,5274,5425,6146,6285,6643,6669,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1017,1216,1476,1477,1513,1590,1605,2014,2308,2330,2345,2368,2454,2606,2886,2891,2912,3034,3035,3037,3533,3653,3711,4147,4919,4966,5009,5425,5483,6643,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1089,1216,1513,1605,2014,2308,2327,2330,2345,2454,2606,2731,2891,3005,3017,3023,3035,3218,3289,3533,3653,3665,4919,4966,5009,5425,6121,6146,6245,6285,6669,8069,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1102,1216,1301,1303,1326,1590,2002,2303,2308,2317,2330,2357,2395,2412,2454,2603,2881,2882,2884,2885,2886,2891,2892,2912,3034,3045,3711,5871,5880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1104,1590,2303,2308,2317,2330,2345,2377,2379,2395,2454,3008,3023,3034,3035,3037,3045,3443,3529,3533,4904,4966,5269,5274,5347,6415,6669,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1111,1301,1303,1476,1477,1590,2345,2351,2360,2377,2379,2395,2881,2891,2912,3008,3023,3034,3035,3037,3189,3443,3529,3533,3661,4966,5269,5274,5347,5871,5904,6409,6415,6491,6669,8046,9910,NA,NA,NA,NA,NA,NA,NA
T1135,1216,1301,1303,1476,1477,1590,2303,2308,2317,2330,2345,2351,2377,2379,2395,2454,2881,2891,2912,3008,3023,3034,3035,3037,3189,3529,3533,4966,5269,5274,5347,5871,5904,6415,6491,8046,9910,NA,NA,NA,NA,NA,NA
T1201,1795,2376,2412,2634,3443,3481,3529,4770,5269,6146,6472,6643,6669,8069,9802,9914,9933,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1405,1513,1605,2308,2327,2338,2345,2360,2497,2707,2727,3289,3293,3491,3587,3653,4137,4746,4977,5425,6143,6223,6285,6456,6515,8069,8261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1407,2308,2338,2732,3264,3289,3491,3587,3594,3707,4105,4162,4164,4966,5009,5289,5347,5425,5483,5904,6143,6146,6488,6523,6679,6683,6741,8091,8255,8299,8358,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1411,2303,2330,2338,2345,2360,2376,2377,2383,2412,2707,2727,2886,2892,3289,3533,3587,3653,3665,3707,4105,4551,4572,5274,6488,6679,6781,8069,8255,8464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1450,1717,2303,2317,2330,2377,2383,2886,2892,3042,3044,3587,3665,4105,4572,5434,5483,6176,6488,8464,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1601,2231,2330,3035,3037,3529,3661,4919,4931,4966,4977,5269,5425,6415,6531,6533,6643,6679,6741,6781,8046,8155,8255,8358,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1603,1476,1589,2201,2231,2330,2345,2376,2421,2603,2731,3017,3034,3218,3533,3661,3680,4137,4927,5347,6416,6491,6510,6712,6782,6806,8050,8069,8255,8358,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1608,1301,1402,2031,2308,2330,2345,2368,2376,2606,2731,2891,3008,3017,3035,3037,3293,3324,3529,3533,3653,3661,4162,4919,4966,4979,5274,5425,6146,6271,6456,6472,6488,6491,6683,6712,6741,6782,6806,8050,8255,9802,NA,NA
T1609,1301,1402,1605,2031,2303,2308,2327,2330,2337,2345,2368,2376,2412,2454,2606,2618,2891,2892,3008,3017,3035,3037,3324,3529,3533,3653,3661,4919,4966,4979,5274,5425,6271,6456,6472,6806,8050,8255,9802,9910,NA,NA,NA
T1612,1589,2031,2231,2707,2731,3653,3661,3675,4147,4162,4743,4746,4931,4977,4979,5309,5904,6205,6245,6274,6416,6472,6589,6712,6741,6782,6806,6829,8050,8255,8358,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1613,1605,2027,2201,2308,2327,2383,2610,2634,2748,3008,3289,3491,3504,3587,4137,6213,6244,6443,6456,6806,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1614,1605,2027,2308,2330,2345,2360,2368,3008,3017,3034,3218,3529,3533,3587,3653,3661,4162,4743,4919,5009,5425,6146,6223,6285,6443,6456,6472,6589,6782,8046,8050,8069,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1701,1565,2313,2317,2330,2368,2454,3037,3189,3533,3665,5220,5425,5439,6279,6290,6788,6829,8046,8109,8942,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1706,1580,2330,2454,2634,2640,3008,3189,3293,3491,3551,3617,3669,4549,4971,6143,6245,6279,6290,6591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1713,1565,2330,2368,3037,3189,3533,3665,3675,5220,5309,5425,5439,6279,6290,6788,6829,8046,8109,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1718,2404,3264,3413,4163,5284,5443,5483,6143,6245,6470,6664,6670,8049,8938,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1802,1216,1477,1513,1590,2303,2308,2317,2330,2351,2377,2379,2382,2454,2881,2912,3008,3037,3443,3529,3592,3596,3711,4551,4966,5274,5871,5904,6491,6669,8046,8341,9933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2003,1101,1476,1477,1605,1760,1795,2201,2308,2327,2330,2338,2368,2707,2882,3008,3017,3293,3443,3533,3587,3653,3661,3680,4763,5009,6245,8454,9904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2004,1760,2014,2027,2308,2330,2368,2376,2383,2606,2753,2882,3008,3017,3035,3037,3217,3443,3529,3533,3587,3653,3661,3680,4763,4770,5274,5871,6213,6245,6669,8046,9904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2005,1301,1303,1319,1504,1760,2330,2454,2881,2882,2884,2886,2912,3017,3035,3037,3443,3533,3653,3661,3680,4763,4770,4915,4919,5269,5274,5288,5876,5904,6279,6446,6505,6669,6715,6781,8028,8454,8916,9802,9914,9942,NA,NA
T2006,1605,1760,2014,2027,2308,2330,2368,2376,2383,2606,2753,2882,3008,3017,3035,3037,3217,3443,3529,3533,3587,3653,3661,3680,4763,4770,5274,5871,6213,6245,6669,8046,9904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2007,1605,1760,2014,2027,2308,2330,2368,2383,2606,2753,2882,3008,3017,3035,3037,3217,3443,3529,3533,3587,3653,3661,4763,4770,5009,5274,5871,6245,6589,8046,9904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2030,1101,1532,2014,2303,2308,2327,2330,2360,2368,2383,2454,2723,2732,3017,3035,3037,3217,3324,3443,3533,3653,3661,3680,4572,4763,4958,5269,5425,5904,6279,6488,6491,6715,6781,8028,8255,9802,NA,NA,NA,NA,NA,NA
T2036,1101,1476,1760,1795,2201,2308,2327,2330,2338,2707,3008,3017,3023,3034,3293,3443,3533,3653,3661,3680,4763,4958,5009,6245,8454,9904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2069,1101,1476,1605,1760,1795,2201,2308,2327,2330,2338,2707,2882,2891,3017,3293,3443,3533,3587,3661,3680,4763,4958,5009,5274,5904,6245,8049,8454,9904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2101,1101,1301,1319,1476,2002,2201,2308,2317,2330,2345,2408,2412,2634,2884,2891,3008,3023,3533,4958,5274,5871,6279,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2203,1795,2059,2308,2317,2327,2330,2368,2454,2603,3037,3218,3264,3406,3443,3529,3533,3653,3661,3680,3707,4536,5009,5483,5871,5904,6146,6488,6515,6781,8046,8050,9802,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2205,1101,1795,2308,2313,2327,2330,2345,2368,2376,2383,2603,2707,3008,3023,3034,3035,3443,3533,3587,3653,4536,4743,4958,5871,6245,6446,6472,6488,6781,8046,8050,8069,8464,8996,9802,NA,NA,NA,NA,NA,NA,NA,NA
T2208,1513,1590,2002,2059,2308,2327,2330,2345,2368,2376,2377,2383,2603,3023,3035,3037,3529,3533,3587,3653,3707,4743,4958,5009,5483,6205,6245,6446,6472,6488,6491,6712,6781,6782,8046,8050,8069,8436,8454,8478,NA,NA,NA
T2210,1513,1590,1736,2002,2059,2308,2327,2330,2345,2368,2376,2377,2383,2603,3023,3034,3035,3037,3443,3529,3533,3587,3653,4743,4958,5009,5425,5483,6205,6245,6446,6472,6488,6491,6712,6781,6782,8046,8050,8069,8436,8454,8478
T2216,1513,1795,2308,2330,2345,2368,2376,2383,2603,2707,3008,3034,3035,3218,3443,3529,3533,3587,3653,4536,4743,4958,5871,5904,6472,6488,6781,8046,8050,8069,8454,8464,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T22C2,1513,2059,2308,2327,2330,2454,2603,3023,3037,3264,3324,3406,3443,3529,3533,3653,3661,3675,3707,4536,4966,5483,5871,5904,6446,6488,6781,8016,8046,8050,8069,8454,9802,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2501,1301,1476,2201,2301,2303,2308,2313,2317,2330,2360,2368,2382,2454,2634,2723,2891,2912,3008,3533,3653,3661,3665,3711,4915,4966,5269,5425,5904,6245,6279,6533,6669,6781,8046,8255,9910,NA,NA,NA,NA,NA,NA,NA
T2506,1301,1305,1476,1477,1605,2014,2027,2301,2308,2313,2330,2345,2368,2383,2385,2454,2892,3293,3515,3529,3533,3653,3661,3680,3707,4768,4770,4919,4966,5274,5309,5388,6274,6533,6669,8028,8255,NA,NA,NA,NA,NA,NA
T2520,1717,2301,2308,2317,2330,2345,2368,2606,3034,3037,3533,3596,3653,3661,3707,4768,4770,4966,5269,5274,5309,6285,6515,6533,6669,6719,8028,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2578,1102,1605,1722,2002,2301,2303,2308,2317,2330,2345,2357,2377,2382,2454,2610,2882,2885,2886,2891,2912,3034,3037,3045,3711,6669,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2620,1215,1532,1590,2027,2059,2106,2327,2338,2345,2376,2504,2723,3218,3491,3653,5009,5288,5388,5425,5903,5904,6121,6279,6290,6443,8028,8086,8114,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2701,1101,1102,2002,2006,2301,2303,2330,2345,2347,2357,2376,2377,2382,2408,2409,2412,2454,2542,2548,2753,2886,2890,3017,3533,3702,5483,5904,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2703,2014,2201,2330,2345,2376,2454,2637,2723,2753,2892,3017,3037,3443,3529,3533,3653,3680,4137,4966,5274,5904,6138,6443,6669,8069,9938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3101,1303,1477,2303,2308,2317,2330,2345,2351,2368,2379,2408,2412,2454,2881,2882,2883,2884,2890,2891,3008,3023,3037,3533,3661,4966,5274,5347,5871,6669,8069,8454,8464,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3201,2303,2308,2330,2351,2454,2912,3017,3443,3529,3533,3653,3661,4919,4966,5274,5483,6488,6781,8069,8464,9802,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3203,1308,1476,1536,1707,2308,2330,2454,3008,3017,3037,3443,3529,3533,3653,3661,3708,4129,4551,4919,5274,6491,6679,6781,8046,8069,8464,9802,9910,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3205,1707,1752,2330,3017,3131,3443,3529,3533,3653,3661,3708,4129,4739,4919,5274,5457,6285,6491,6679,6781,8069,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3207,1476,1536,1707,2006,2330,2345,2421,2454,3008,3017,3443,3529,3533,3653,3661,4551,4739,4919,4968,5274,6491,6679,6781,8069,9910,9914,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
