,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42
T0903,1477,1519,2059,2204,2308,2330,2345,2368,2376,2382,2383,2421,3008,3017,3036,3037,3044,3324,3529,3587,3653,3661,5274,6274,6285,6669,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0904,1319,1560,2059,2330,2345,2368,2382,3005,3017,3036,3037,3044,3231,3443,3596,3653,3661,5388,6285,6669,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,1319,1519,2345,2368,2376,2382,2383,3017,3036,3044,3653,3661,3715,4763,4979,5274,6274,6669,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0909,1477,1519,1560,1795,2204,2308,2330,2345,2368,2376,2382,3005,3017,3034,3035,3443,3587,3596,3653,3661,5388,6223,6285,6643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,1477,2059,2327,2330,2345,2368,2376,2377,2382,2383,2454,3017,3034,3035,3044,3217,3324,3443,3529,3533,3653,3661,6213,6285,6515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0911,1476,1477,1519,2059,2301,2345,2368,2376,2382,2383,2421,2748,3008,3014,3017,3037,3044,3231,3324,3533,3653,3661,5274,6285,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0922,1519,2059,2204,2330,2345,2368,2376,2382,3017,3035,3037,3044,3289,3533,3653,3661,3715,5269,5274,5289,5388,6213,6285,6510,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0945,2059,2204,2330,2345,2368,2376,2377,2382,2454,3017,3034,3035,3044,3324,3529,3653,3661,6285,6515,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1001,1476,1519,2049,2308,2368,2376,2382,2383,3014,3017,3231,3529,3533,3653,3661,3715,5274,6643,6669,6679,8069,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1004,1319,1477,2059,2308,2313,2345,2376,2379,2382,2383,3014,3017,3035,3081,3231,3661,3715,5274,6285,6643,6679,6732,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1005,1319,1519,2059,2345,2368,2376,2382,2383,2449,3017,3231,3529,3533,3653,3661,3715,4979,5274,6146,6213,6274,6643,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1010,1319,1590,2308,2345,2368,2376,2382,2383,3014,3017,3231,3529,3533,3653,3661,3715,4979,5269,5274,6213,6643,6669,6679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1011,1319,1519,2014,2059,2301,2345,2353,2360,2368,2376,2379,2382,2383,2455,2753,3017,3231,3653,3661,5871,6643,6669,6811,8069,8299,8996,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1012,2059,2308,2313,2330,2345,2376,2379,2382,2383,3014,3017,3081,3231,3529,3653,3661,3711,3715,4966,5274,6285,6643,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1017,1519,2049,2301,2345,2368,2376,2382,2383,3014,3017,3037,3231,3529,3533,3653,3661,3715,6643,6669,6679,6811,8069,8996,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1089,1319,1519,2301,2313,2330,2345,2360,2368,2376,2382,2383,3005,3014,3017,3037,3533,3653,3661,3680,4919,4979,5009,5289,6146,6274,6643,6679,6806,8069,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1102,1101,1216,1303,1326,2002,2303,2308,2317,2330,2345,2357,2379,2382,2395,2412,2454,2881,2882,2883,2884,2885,2886,2891,2892,2912,3008,3034,3037,3045,3711,5871,5880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1104,1590,2059,2301,2303,2308,2330,2345,2357,2360,2368,2376,2379,2382,2383,2395,3008,3017,3034,3037,3045,3131,3231,3443,3529,3653,3680,3711,4904,5274,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1111,1476,1477,1590,2059,2301,2345,2357,2360,2368,2376,2379,2382,2383,2881,2884,3008,3017,3035,3037,3131,3218,3231,3443,3529,3653,3665,3680,5274,5904,6409,6669,8210,8464,9910,NA,NA,NA,NA,NA,NA,NA,NA
T1135,1303,1476,1477,2059,2301,2308,2330,2345,2357,2360,2368,2376,2379,2382,2383,2881,2882,2884,2886,2891,3008,3017,3034,3037,3131,3218,3231,3529,3653,3680,4966,5274,5904,6669,8210,8464,9910,NA,NA,NA,NA,NA
T1201,1477,2059,2330,2345,2351,2368,2408,2421,3037,3044,3131,3260,3443,3529,3533,3661,3680,5222,5274,6146,6235,6274,6643,6830,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1405,1590,2301,2308,2313,2330,2379,2382,2454,3014,3034,3035,3217,3231,3305,3324,3529,3661,4966,5269,6121,6143,6176,6279,6679,6806,8358,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1407,2313,2376,2382,3017,3217,3231,3260,3324,3363,3529,3587,3661,4966,5274,6213,6274,6510,6679,8086,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1408,2301,2308,2330,2360,2379,2382,2383,2436,2458,3004,3044,3081,3231,3260,3324,3587,3653,3661,4961,4966,5269,5388,6282,6679,6732,8027,8086,8109,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1411,2308,2317,2330,2354,2355,2376,2377,2382,2383,2412,2634,2886,2892,3035,3217,3231,3260,3529,3653,3661,4572,4966,5234,5274,6146,6679,6863,8464,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1450,1717,2317,2330,2377,2382,2892,3037,3042,3044,3217,3231,4572,5234,5434,6146,6176,6488,8464,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1601,2345,2455,3035,3443,3529,3533,3592,3661,4961,4966,5269,5274,6531,6643,6719,6732,6799,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1603,1477,1519,2303,2327,2330,2345,2360,2368,2376,2382,2383,2454,2455,3008,3017,3035,3037,3044,3587,3653,3661,5269,5274,6146,6285,6412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1608,1519,1783,1795,2059,2345,2382,2729,2731,2748,3017,3131,3152,3260,3529,3533,3624,3661,3675,3680,4147,4768,5222,5274,6146,6274,6472,6538,6741,6799,6806,8358,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1609,1319,1477,1519,2330,2345,2368,2376,2382,2383,2408,2454,2886,3017,3035,3037,3231,3260,3443,3529,3533,3587,3653,3661,3675,4966,5269,5274,6285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1612,1519,2059,2382,2732,2748,3131,3152,3217,3260,3324,3529,3587,3624,3661,3675,3680,4147,4768,4979,5222,5274,5309,5340,6146,6274,6472,6538,6643,6741,6799,8069,8358,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1613,1319,1802,2201,2345,2356,2368,2376,2382,2383,2634,3005,3017,3034,3044,3231,3443,3529,3548,3661,4147,4572,4961,5274,6285,6412,6669,6732,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1614,2059,2301,2308,2330,2345,2360,2368,2376,2382,2383,2454,3008,3017,3035,3044,3131,3324,3443,3529,3587,3653,3661,3675,4961,5274,6223,6285,6531,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1701,2313,2330,2351,2368,2454,3037,3038,3189,3533,3665,3675,5425,5439,6279,6788,6829,8069,8109,8210,8349,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1706,2330,2454,2634,2640,3008,3189,3293,3491,3551,3617,4572,6143,6245,6279,6591,6782,8069,8210,8349,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1718,1319,1522,2211,3036,3213,3217,3227,3526,5236,6139,6170,6189,6284,6523,6585,6664,6788,8081,8112,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1802,1216,1513,2303,2308,2317,2330,2345,2351,2357,2368,2379,2382,2454,2455,2727,2881,2882,2912,3008,3034,3037,3042,3231,3443,3529,3533,3680,3702,3711,4966,5871,6488,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA
T2003,1519,2059,2308,2317,2330,2368,2376,2382,2383,3017,3037,3044,3324,3443,3533,3587,3617,3653,3661,3715,4763,5269,5274,6274,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2004,1477,1519,2059,2313,2345,2368,2376,2382,2383,3017,3044,3231,3443,3529,3533,3661,4763,5274,6213,6239,6274,6285,8210,8299,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2005,1476,1477,1504,1736,2308,2330,2368,2382,2383,2881,2882,2884,2891,3017,3037,3044,3661,3715,4763,4766,4768,6223,6592,6669,6679,6806,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2007,2330,2345,2368,2376,2382,3017,3037,3231,3443,3529,3533,3617,3653,3661,3715,4763,4766,5274,6213,6274,6669,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2030,1477,2059,2308,2330,2368,2376,2382,2383,3017,3044,3533,3617,3661,3715,4763,5269,5274,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2036,1519,2059,2308,2317,2330,2368,2376,2382,2383,2454,3017,3044,3533,3583,3617,3661,3715,4763,5269,5274,6274,6732,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2069,1519,2059,2308,2317,2330,2368,2376,2382,2383,2454,2458,3017,3044,3231,3533,3617,3661,3715,4763,5269,5274,6274,6732,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2101,1476,1590,2201,2301,2308,2317,2330,2345,2382,2383,2408,2454,2634,2881,2891,3023,3105,3533,3661,4966,5269,5274,5871,6274,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2203,1519,2327,2345,2368,2376,2382,2383,2449,3017,3034,3036,3042,3231,3264,3293,3529,3533,3587,3617,3653,3661,5274,6285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2205,1503,1519,2059,2301,2308,2313,2330,2345,2360,2368,2376,2382,2383,2421,2449,2455,3017,3037,3044,3131,3231,3324,3443,3653,3661,4979,6274,6285,6472,6669,8210,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2208,1519,2059,2308,2327,2345,2360,2368,2376,2382,2383,2449,2454,2731,2753,3017,3035,3037,3324,3529,3533,3587,3617,3653,3661,4966,5269,5274,5289,6205,6274,6285,6414,6472,6811,8299,NA,NA,NA,NA,NA,NA,NA
T2210,1519,2059,2308,2327,2345,2360,2368,2376,2382,2383,2449,2454,2731,2753,3017,3035,3037,3324,3529,3533,3587,3653,3661,4966,5269,5274,5289,6205,6274,6285,6414,6472,6811,8299,NA,NA,NA,NA,NA,NA,NA,NA
T2216,1519,2327,2345,2368,2376,2382,2383,2449,3017,3036,3042,3231,3264,3529,3533,3587,3617,3653,3661,5274,6285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T22C2,1795,2059,2301,2308,2327,2330,2357,2376,2382,2383,2385,2449,2753,3037,3044,3231,3443,3529,3533,3653,3661,4915,5483,6146,6223,6285,6472,6781,8069,8299,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2501,1519,1590,2301,2308,2330,2345,2368,2376,2379,2382,2383,2454,3017,3035,3044,3231,3533,3587,3653,3661,3715,4966,5269,5274,6213,6669,8016,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2506,1319,1560,2308,2330,2345,2368,2376,2382,2383,3017,3037,3131,3231,3529,3533,3587,3653,3661,4966,5269,5274,6213,6669,6715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2520,2308,2330,2345,2356,2368,2376,2382,3017,3037,3231,3234,3483,3515,3529,3533,3653,3661,3707,3711,3715,5274,6213,6274,6669,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2578,1476,1504,1605,2049,2303,2308,2317,2330,2408,2454,2492,2606,2610,2882,2885,2886,2891,3034,3045,3711,5269,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2620,1210,1476,1477,1504,1605,2207,2301,2308,2313,2330,2383,2605,3017,3044,3491,3653,3661,3675,4164,4572,4966,4967,5222,5388,6274,6414,6669,6830,8996,9910,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2701,1477,2006,2301,2347,2357,2376,2382,2383,2408,2412,2449,2454,2891,3017,3034,3035,3037,3044,3231,3443,3529,3661,3702,5269,5388,5483,6138,6239,6669,8210,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2703,1477,1519,1590,2330,2345,2368,2376,2382,2383,2408,3017,3035,3044,3231,3324,3443,3529,3653,3661,5269,5274,5289,6213,6415,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3101,1303,1477,2301,2308,2317,2330,2345,2351,2360,2368,2376,2382,2383,2457,2881,2882,2890,2891,3008,3017,3023,3037,3231,3529,3533,3661,3680,5222,5274,6531,8069,8210,8299,8454,8464,9910,NA,NA,NA,NA,NA,NA
T3201,1519,2301,2308,2330,2345,2376,2382,2383,2421,2912,3017,3231,3443,3529,3661,5274,5483,6669,6781,8069,8464,9802,9914,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3203,1477,1519,2330,2345,2368,2376,2382,2383,2421,2455,3017,3035,3044,3231,3324,3443,3529,3653,3661,5871,6285,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3205,1762,2313,2345,2376,2382,2383,2421,3017,3035,3044,3231,3443,3529,3583,3661,5269,6285,6669,8210,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3207,1477,2345,2368,2376,2382,2383,2421,2455,2634,3017,3044,3231,3324,3443,3529,3653,3661,4966,5269,6669,6829,8464,9910,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3218,1477,2330,2345,2368,2376,2382,2383,2421,2455,3017,3023,3035,3044,3231,3324,3443,3529,3653,3661,5269,6285,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3219,1477,2345,2368,2376,2382,2383,2421,2455,3017,3023,3035,3044,3231,3324,3443,3529,3653,3661,5269,6285,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3228,2313,2345,2376,2382,2383,2421,3017,3035,3036,3044,3231,3443,3529,3583,3661,5269,6285,6669,8210,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3236,1519,2308,2376,2382,2385,2451,2454,2548,2637,2729,3034,3036,3042,3443,3661,3680,3711,4736,5269,5871,6121,6147,6176,6670,8069,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
