,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44
T0901,2313,2330,2351,2368,2383,2481,2603,2609,2610,3006,3017,3035,3037,3189,3324,3455,3529,3532,3533,3653,3661,3707,4966,5274,5483,6104,6138,6271,6756,6781,8016,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0902,1708,1795,2006,2330,2351,2368,2481,2609,2610,2618,2886,3006,3017,3035,3037,3324,3443,3491,3653,3661,4162,5269,5871,6104,6271,6781,8046,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0903,1795,2014,2327,2330,2351,2368,2609,3017,3035,3037,3189,3532,3533,3653,3665,3675,4162,4919,4958,5425,6104,6271,8046,8069,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0904,1301,2027,2313,2330,2351,2368,2383,2603,2609,3008,3017,3035,3037,3533,3596,3653,3707,5269,5274,6138,6271,6669,6781,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,1708,1795,2006,2351,2368,2481,2609,2610,2618,3006,3017,3035,3037,3324,3443,3491,3624,3653,3661,4162,5269,5274,6104,6271,6679,6781,8046,8255,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0909,2002,2006,2031,2327,2330,2351,2368,2504,2618,2884,2886,2891,3017,3037,3189,3533,3653,3665,3675,4162,4958,6104,6271,6488,6679,8046,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,2002,2027,2031,2327,2330,2351,2368,2412,2603,2609,2618,3006,3017,3035,3037,3042,3189,3260,3324,3533,3653,3665,3675,4958,6104,6271,6505,8046,8069,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0911,1301,2027,2313,2330,2351,2368,2383,2603,2609,3008,3017,3035,3037,3189,3533,3653,3665,3707,5269,5274,6138,6271,6781,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0922,2002,2031,2327,2330,2351,2412,2603,2609,2610,2618,2886,3006,3017,3037,3189,3455,3533,3653,3665,4958,6104,6271,6505,6679,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1001,2303,2313,2330,2351,2376,2454,2455,2618,2882,3017,3035,3037,3189,3515,3533,3653,3661,3665,4927,5269,5274,5425,6138,6271,6488,6491,6669,6781,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1004,2330,2351,2368,2455,2603,2610,2882,3035,3037,3189,3443,3515,3529,3653,3661,4927,4966,5425,5483,6104,6138,6187,6196,6271,6488,6669,6679,6781,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1005,1476,1590,2313,2330,2338,2351,2455,3017,3035,3037,3443,3529,3532,3533,3653,3661,3675,4966,5269,5274,5425,5483,6104,6138,6196,6271,6457,6488,6491,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1010,1477,2313,2330,2338,2351,2368,2455,2732,3017,3035,3037,3189,3515,3529,3533,3661,5425,5483,6104,6138,6187,6196,6271,6457,6488,6669,6679,6756,6781,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1011,1590,2313,2330,2338,2351,2368,2455,3017,3035,3037,3443,3515,3529,3533,3653,3661,4966,5269,5425,5483,6104,6138,6196,6271,6457,6488,6669,6679,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1012,2303,2330,2338,2454,2455,2618,2732,3035,3037,3189,3661,3665,3707,4919,4927,4966,5269,5483,6104,6138,6187,6196,6271,6457,6488,6679,6756,6781,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1017,1590,2330,2351,2368,2455,2603,2610,2882,3035,3037,3189,3443,3515,3529,3533,3653,3661,4927,4966,5425,5483,6104,6138,6187,6196,6271,6488,6669,6679,6781,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1089,2330,2351,2357,2454,2458,2882,3017,3035,3037,3189,3217,3515,3533,3592,3661,3665,5269,5483,6138,6271,6488,6491,6679,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1102,1101,1216,1301,1303,1326,2002,2303,2308,2317,2330,2357,2379,2382,2395,2409,2412,2454,2603,2881,2882,2883,2884,2885,2886,2891,2912,3034,3037,3045,3711,5871,6415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1104,2308,2330,2379,2382,2454,2455,3034,3037,3105,3406,3443,3529,3533,4966,4968,5269,5274,5347,6415,6669,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1111,2377,2379,2455,2883,2887,2891,3034,3037,3105,3406,3443,3529,3533,4966,4968,5269,5274,6409,6415,6669,8046,8069,8454,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1135,1301,2308,2330,2379,2382,2454,2455,2881,2882,2883,2887,2891,3034,3037,3105,3406,3443,3529,3533,4966,4968,5269,5274,5871,6415,6669,8046,8069,8454,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1201,2330,2368,2603,2886,3003,3037,3526,3529,3661,3665,3680,4739,4966,5274,6187,6271,6438,6669,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1405,1762,2303,2330,2610,2618,3035,3037,3189,3413,3443,3532,3587,3661,3707,5234,5483,6182,6411,6443,6491,8046,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
