combine,number,0,mkt
s360,2402,毅嘉,TSE
s361,2404,漢唐,TSE
s362,2405,輔信,TSE
s363,2406,國碩,TSE
s364,2408,南亞科,TSE
s365,2409,友達,TSE
s366,2412,中華電,TSE
s367,2413,環科,TSE
s368,2414,精技,TSE
s369,2415,錩新,TSE
s370,2417,圓剛,TSE
s371,2419,仲琦,TSE
s372,2420,新巨,TSE
s373,2421,建準,TSE
s374,2423,固緯,TSE
s375,2424,隴華,TSE
s376,2425,承啟,TSE
s377,2426,鼎元,TSE
s378,2427,三商電,TSE
s379,2428,興勤,TSE
s380,2429,銘旺科,TSE
s381,2430,燦坤,TSE
s382,2431,聯昌,TSE
s383,2433,互盛電,TSE
s384,2434,統懋,TSE
s385,2436,偉詮電,TSE
s386,2438,翔耀,TSE
s387,2439,美律,TSE
s388,2440,太空梭,TSE
s389,2441,超豐,TSE
s390,2442,新美齊,TSE
s391,2443,昶虹,TSE
s392,2444,兆勁,TSE
s393,2449,京元電子,TSE
s394,2450,神腦,TSE
s395,2451,創見,TSE
s396,2453,凌群,TSE
s397,2454,聯發科,TSE
s398,2455,全新,TSE
s399,2457,飛宏,TSE
s400,2458,義隆,TSE
s401,2459,敦吉,TSE
s402,2460,建通,TSE
s403,2461,光群雷,TSE
s404,2462,良得電,TSE
s405,2464,盟立,TSE
s406,2465,麗臺,TSE
s407,2466,冠西電,TSE
s408,2467,志聖,TSE
s409,2468,華經,TSE
s410,2471,資通,TSE
s411,2472,立隆電,TSE
s412,2474,可成,TSE
s413,2476,鉅祥,TSE
s414,2477,美隆電,TSE
s415,2478,大毅,TSE
s416,2480,敦陽科,TSE
s417,2481,強茂,TSE
s418,2482,連宇,TSE
s419,2483,百容,TSE
s420,2484,希華,TSE
s421,2485,兆赫,TSE
s422,2486,一詮,TSE
s423,2488,漢平,TSE
s424,2489,瑞軒,TSE
s425,2491,吉祥全,TSE
s426,2492,華新科,TSE
s427,2493,揚博,TSE
s428,2495,普安,TSE
s429,2496,卓越,TSE
s430,2497,怡利電,TSE
s431,2498,宏達電,TSE
s432,2501,國建,TSE
s433,2504,國產,TSE
s434,2505,國揚,TSE
s435,2506,太設,TSE
s436,2509,全坤建,TSE
s437,2511,太子,TSE
s438,2514,龍邦,TSE
s439,2515,中工,TSE
s440,2516,新建,TSE
s441,2520,冠德,TSE
s442,2524,京城,TSE
s443,2527,宏璟,TSE
s444,2528,皇普,TSE
s445,2530,華建,TSE
s446,2534,宏盛,TSE
s447,2535,達欣工,TSE
s448,2536,宏普,TSE
s449,2537,聯上發,TSE
s450,2538,基泰,TSE
s451,2539,櫻花建,TSE
s452,2540,愛山林,TSE
s453,2542,興富發,TSE
s454,2543,皇昌,TSE
s455,2545,皇翔,TSE
s456,2546,根基,TSE
s457,2547,日勝生,TSE
s458,2548,華固,TSE
s459,2596,綠意,OTC
s460,2597,潤弘,TSE
s461,2601,益航,TSE
s462,2603,長榮,TSE
s463,2605,新興,TSE
s464,2606,裕民,TSE
s465,2607,榮運,TSE
s466,2608,嘉里大榮,TSE
s467,2609,陽明,TSE
s468,2610,華航,TSE
s469,2611,志信,TSE
s470,2612,中航,TSE
s471,2613,中櫃,TSE
s472,2614,東森,TSE
s473,2615,萬海,TSE
s474,2616,山隆,TSE
s475,2617,台航,TSE
s476,2618,長榮航,TSE
s477,2630,亞航,TSE
s478,2633,台灣高鐵,TSE
s479,2634,漢翔,TSE
s480,2636,台驊投控,TSE
s481,2637,慧洋-KY,TSE
s482,2640,大車隊,OTC
s483,2641,正德,OTC
s484,2642,宅配通,TSE
s485,2643,捷迅,OTC
s486,2645,長榮航太,TSE
s487,2701,萬企,TSE
s488,2702,華園,TSE
s489,2704,國賓,TSE
s490,2705,六福,TSE
s491,2706,第一店,TSE
s492,2707,晶華,TSE
s493,2712,遠雄來,TSE
s494,2718,晶悅,OTC
s495,2719,燦星旅,OTC
s496,2722,夏都,TSE
s497,2723,美食-KY,TSE
s498,2724,藝舍-KY,OTC
s499,2726,雅茗-KY,OTC
s500,2727,王品,TSE
s501,2729,瓦城,OTC
s502,2731,雄獅,TSE
s503,2732,六角,OTC
s504,2734,易飛網,OTC
s505,2736,富野,OTC
s506,2739,寒舍,TSE
s507,2740,天蔥,OTC
s508,2743,山富,OTC
s509,2745,五福,OTC
s510,2748,雲品,TSE
s511,2752,豆府,OTC
s512,2753,八方雲集,TSE
s513,2754,亞洲藏壽司,OTC
s514,2755,揚秦,OTC
s515,2756,聯發國際,OTC
s516,2762,世界健身-KY,TSE
s517,2801,彰銀,TSE
s518,2809,京城銀,TSE
s519,2812,台中銀,TSE
s520,2816,旺旺保,TSE
s521,2820,華票,TSE
s522,2832,台產,TSE
s523,2834,臺企銀,TSE
s524,2836,高雄銀,TSE
s525,2838,聯邦銀,TSE
s526,2845,遠東銀,TSE
s527,2849,安泰銀,TSE
s528,2850,新產,TSE
s529,2851,中再保,TSE
s530,2852,第一保,TSE
s531,2855,統一證,TSE
s532,2867,三商壽,TSE
s533,2880,華南金,TSE
s534,2881,富邦金,TSE
s535,2882,國泰金,TSE
s536,2883,開發金,TSE
s537,2884,玉山金,TSE
s538,2885,元大金,TSE
s539,2886,兆豐金,TSE
s540,2887,台新金,TSE
s541,2888,新光金,TSE
s542,2889,國票金,TSE
s543,2890,永豐金,TSE
s544,2891,中信金,TSE
s545,2892,第一金,TSE
s546,2897,王道銀行,TSE
s547,2901,欣欣,TSE
s548,2903,遠百,TSE
s549,2904,匯僑,TSE
s550,2905,三商,TSE
s551,2906,高林,TSE
s552,2908,特力,TSE
s553,2910,統領,TSE
s554,2911,麗嬰房,TSE
s555,2912,統一超,TSE
s556,2913,農林,TSE
s557,2915,潤泰全,TSE
s558,2916,滿心,OTC
s559,2923,鼎固-KY,TSE
s560,2924,宏太-KY,OTC
s561,2926,誠品生活,OTC
s562,2929,淘帝-KY,TSE
s563,2937,集雅社,OTC
s564,2939,凱羿-KY,TSE
s565,2945,三商家購,TSE
s566,2947,振宇五金,OTC
s567,2948,寶陞,OTC
s568,2949,欣新網,OTC
s569,3002,歐格,TSE
s570,3003,健和興,TSE
s571,3004,豐達科,TSE
s572,3005,神基,TSE
s573,3006,晶豪科,TSE
s574,3008,大立光,TSE
s575,3010,華立,TSE
s576,3011,今皓,TSE
s577,3013,晟銘電,TSE
s578,3014,聯陽,TSE
s579,3015,全漢,TSE
s580,3016,嘉晶,TSE
s581,3017,奇鋐,TSE
s582,3018,隆銘綠能,TSE
s583,3019,亞光,TSE
s584,3021,鴻名,TSE
s585,3022,威強電,TSE
s586,3023,信邦,TSE
s587,3024,憶聲,TSE
s588,3025,星通,TSE
s589,3026,禾伸堂,TSE
s590,3027,盛達,TSE
s591,3028,增你強,TSE
s592,3029,零壹,TSE
s593,3030,德律,TSE
s594,3031,佰鴻,TSE
