,BOP,HT_DCPHASE,MIN,VAR,COS,TAN,PLUS_DM,SIN
27,-0.025965089,-0.08321221,-0.0020382623,0.03927203,-0.014529888,0.063684635,0.018627938,0.0034873614
28,-0.074027985,0.021345135,0.08230637,-0.066135034,0.06613179,-0.045525074,-0.0016511324,0.0024136982
29,0.08479385,-0.08806843,-0.020729719,-0.07591238,-0.04304127,-0.0010135631,0.08205419,-0.07403539
30,0.011677212,0.028884241,0.061375607,0.0051732836,-0.058903683,-0.08295623,0.028162792,0.01108705
31,-0.03226897,-0.038619798,0.0108534,-0.019956084,-0.007900809,-0.01970561,-0.06580746,0.06975605
32,0.0094613945,0.014773161,0.06997381,-0.073020235,-0.020887757,-0.07061254,0.055941723,-0.07775019
33,0.08099211,-0.04506236,-0.068324275,0.04126265,-0.0789151,0.07477097,0.044400837,0.0046783066
34,0.024564782,-0.016657872,-0.0022502644,0.05954291,0.064234994,-0.021733861,0.015459978,-0.0072385925
35,0.02124582,0.060669888,0.012500645,-0.07720131,0.00708751,0.07388896,-0.042944383,-0.06319333
36,0.029249623,0.07629114,0.06361379,-0.008410964,0.090995654,-0.054010294,-0.05542997,-0.02388801
37,0.047579948,0.02195313,-0.08167436,-0.038221065,-0.0857985,-0.04567594,0.05068719,-0.057286244
38,-0.047401786,-0.07691053,0.043771107,-0.04712368,-0.08642331,0.029155215,-0.015708739,0.045926563
39,0.023783328,-0.013452441,-0.014984526,0.015673982,0.028861366,-0.046235766,0.022781404,0.081030875
40,-0.06243535,-0.08044487,-0.047188375,-0.04237194,-0.024979763,-0.09465686,0.049093116,-0.0010192884
41,0.04430782,0.010159236,0.009794442,-0.0019481679,0.06363831,0.062135093,0.03281533,0.015220263
42,-0.03940971,0.064588375,-0.028890194,-0.034378167,0.030310936,-0.00883001,-0.09262531,0.058421806
43,0.051736407,-0.049107037,-0.0046479814,0.048687465,-0.06463946,0.054035805,-0.020171462,-0.009629665
44,-0.08871879,-0.08774393,-0.011573634,-0.0429763,-0.06901284,0.07869776,-0.082344264,0.045255244
45,0.051263466,-0.04420036,0.03418782,0.07247069,0.061479736,0.049685773,0.032236855,-0.020464102
46,-0.07003958,-0.07070215,0.07960614,-0.056918737,0.01637679,0.008968809,0.06652239,-0.038027592
47,0.050137855,0.049161654,-0.08475614,-0.016421275,-0.03462059,-0.0004570274,-0.047613084,-0.061904386
48,0.090371534,0.029861653,0.08515419,0.02598892,-0.0005101025,-0.049378544,0.017623523,0.012348733
49,-0.054462735,0.0031798482,0.07084879,-0.048405785,-0.09440408,0.06887562,0.010326267,0.043778777
50,0.07197137,-0.07179308,-0.01351732,-0.01604987,-0.075886846,0.017030627,-0.036557317,0.05028591
51,-0.078302376,-0.056261167,-0.062226046,-0.01545391,-0.023481004,0.016131332,-0.03356411,-0.06506929
52,-0.054627888,-0.028172648,0.081820086,-0.07307838,0.034988698,0.0014752537,-0.06709076,-0.016012507
53,0.07658446,-0.07992546,0.034605965,0.057819266,-0.027991971,0.106193826,-0.04782909,-0.012788044
54,0.03352962,-0.080909096,-0.014963572,0.05855998,-0.031366676,-0.07043136,-0.0912593,-0.007917927
55,0.022675067,-0.049172036,-0.085564405,0.07907627,-0.02330815,0.038728353,-0.0057464913,0.019337442
56,-0.07609718,-0.06269892,-0.06381259,0.064208224,0.06751069,-0.066887565,-0.010519448,-0.020606553
57,0.07932498,-0.03196341,0.017591257,0.034848087,-0.06567676,0.050086673,0.022109631,0.07871379
