,BOP,TSF,SIN,STDDEV,CORREL,TAN,COS
56,0.09169127,-0.024976518,-0.7492361,0.033590406,0.01256759,-0.26659143,0.94197166
57,0.007762017,0.03474806,0.35063785,-0.059688732,-0.011792254,0.073358506,-0.38493434
58,0.08678596,-0.05367392,-0.28978693,0.015510401,0.03644728,-0.10005123,0.37855813
59,-0.011573747,-0.059168894,-0.28052548,-0.077053614,-0.054517247,-0.05355045,0.3135302
60,-0.008182695,0.056642264,-0.18819319,-0.07293929,0.0661197,-0.005279706,0.1369772
61,-0.07258728,0.043559257,-0.017007798,0.034539066,0.0849637,-0.061896626,-0.0034286077
62,0.055289008,-0.03971905,-0.15291579,0.007125895,0.08581956,0.015026566,0.12409344
63,-0.09024235,-0.074790925,0.20772773,0.042790864,0.08030557,0.14523955,-0.30366966
64,0.09641159,-0.01134118,-0.31439415,0.083595715,0.087113,-0.099369474,0.2888602
65,0.016137622,0.07313903,-0.5308817,0.073673196,0.034876265,-0.14451656,0.57182235
66,0.027100042,0.03646373,-0.633653,0.069633774,0.060607567,-0.19605817,0.76510423
67,-0.09444475,0.020874565,0.90099734,-0.090911664,-0.034636773,0.31713486,-1.1745406
68,-0.034960818,0.014634438,-0.0018507012,-0.028337346,-0.045948107,-0.032958444,-0.0030094634
69,-0.06076632,-0.07471452,0.48643166,-0.021076169,-0.050248805,0.21011975,-0.6617907
70,0.047960754,-0.070671305,-0.027870197,-0.04134138,0.066630736,-0.12021533,0.14442173
71,0.14315444,-0.05531989,-0.6756447,-0.05060543,-0.08802713,-0.28950655,0.7780919
72,0.072237484,0.026748016,-0.36501387,0.029758386,-0.04354548,-0.05426386,0.35068077
73,0.018320803,-0.08530857,-0.09720445,0.0071581528,-0.03290488,0.03902999,0.024806403
74,-0.15269871,-0.07403792,0.9531869,0.04002002,0.05503657,0.3848926,-1.0708486
75,-0.03139991,-0.04523586,-0.46668658,0.058547333,0.008576103,-0.2314888,0.44842508
76,0.022627357,0.06483156,-1.0173384,0.0029863438,0.030503122,-0.44423154,1.0996305
77,-0.018987386,-0.06931694,0.1633415,0.03877097,-0.08449647,0.05651446,-0.23220019
78,0.008920514,-0.06677677,0.50164944,-0.05293229,0.08517535,0.14779697,-0.57485485
79,0.006364355,-0.04243556,0.07824454,-0.011306397,0.05151882,0.021026537,0.056681782
80,-0.053204626,-0.08809993,0.28451607,0.0050005424,-0.07992937,0.07906756,-0.3149537
81,0.010077935,0.061380863,0.35503682,0.07074309,-0.018297452,0.1703582,-0.44207305
82,0.001514253,-0.028966997,-0.37925777,0.007987545,0.018308373,-0.18718868,0.5012655
83,-0.063898295,0.07561191,0.3806662,-0.081441365,-0.010512323,0.20218922,-0.47584578
84,0.028117431,0.0031188405,-0.51676005,-0.022129707,-0.041924343,-0.27406928,0.6463424
85,-0.039733868,-0.039175685,0.42014387,-0.091004476,-0.07524785,0.21456143,-0.44746822
86,-0.067531474,-0.021099282,0.23382506,0.06823182,-0.07354153,0.03971995,-0.27824402
87,0.00011749535,-0.0045409026,-0.7433757,-0.050823744,0.071196705,-0.3055623,0.99253106
88,0.07510334,0.026997197,-0.35730138,0.051255018,-0.08031759,-0.057919763,0.3827415
89,0.01518721,-0.05707463,-0.37416935,0.020257398,0.07129387,-0.13931039,0.3216701
90,-0.03738726,0.0029765675,-0.073439345,0.069195524,0.056253772,-0.006779741,0.08262883
91,-0.097016215,-0.04990919,0.47801825,-0.013413273,-0.08367977,0.24012916,-0.55030954
92,0.02037756,-0.004394353,-0.5450181,0.05815088,-0.05023629,-0.2073497,0.67866564
93,0.015191612,-0.05255171,-0.9435952,0.047413167,-0.07001331,-0.2966996,1.1454262
94,0.13862419,0.08243945,-0.6100666,0.016364455,-0.08473935,-0.3446705,0.8582177
95,-0.02845836,-0.011310885,0.0726144,-0.07837803,-0.056472555,0.0944909,-0.15212674
96,-0.05142273,-0.05801859,-0.044746157,-0.025248088,-0.04205464,0.00054628035,0.14520977
97,0.07167474,0.0717603,0.08166762,-0.086805165,-0.072524786,0.12516962,-0.17636274
